project,exp h1-precision,exp_p1 h1-precision,exp h1-recall,exp_p1 h1-recall,exp h2-precision,exp_p1 h2-precision,exp h2-recall,exp_p1 h2-recall,exp h3-precision,exp_p1 h3-precision,exp h3-recall,exp_p1 h3-recall,exp h4-precision,exp_p1 h4-precision,exp h4-recall,exp_p1 h4-recall,exp h5-precision,exp_p1 h5-precision,exp h5-recall,exp_p1 h5-recall,exp h6-precision,exp_p1 h6-precision,exp h6-recall,exp_p1 h6-recall,exp h7-precision,exp_p1 h7-precision,exp h7-recall,exp_p1 h7-recall,exp h8-precision,exp_p1 h8-precision,exp h8-recall,exp_p1 h8-recall,exp h9-precision,exp_p1 h9-precision,exp h9-recall,exp_p1 h9-recall,exp h10-precision,exp_p1 h10-precision,exp h10-recall,exp_p1 h10-recall,exp h11-precision,exp_p1 h11-precision,exp h11-recall,exp_p1 h11-recall,exp h12-precision,exp_p1 h12-precision,exp h12-recall,exp_p1 h12-recall,exp h13-precision,exp_p1 h13-precision,exp h13-recall,exp_p1 h13-recall,exp h14-precision,exp_p1 h14-precision,exp h14-recall,exp_p1 h14-recall,exp h15-precision,exp_p1 h15-precision,exp h15-recall,exp_p1 h15-recall,exp h16-precision,exp_p1 h16-precision,exp h16-recall,exp_p1 h16-recall,exp h17-precision,exp_p1 h17-precision,exp h17-recall,exp_p1 h17-recall,exp h18-precision,exp_p1 h18-precision,exp h18-recall,exp_p1 h18-recall,exp h19-precision,exp_p1 h19-precision,exp h19-recall,exp_p1 h19-recall,exp h20-precision,exp_p1 h20-precision,exp h20-recall,exp_p1 h20-recall
12306,90.4348%,89.5833%,5.7778%,7.1667%,60.0000%,59.0278%,10.3604%,12.7628%,35.6522%,36.1111%,14.4366%,18.3099%,31.3043%,31.2500%,19.3548%,24.1935%,25.2174%,25.6944%,21.6418%,27.6119%,23.4783%,22.2222%,27.5510%,32.6531%,17.3913%,17.3611%,33.3333%,41.6667%,14.7826%,15.2778%,35.4167%,45.8333%,11.3043%,11.8056%,38.2353%,50.0000%,8.6957%,9.0278%,38.4615%,50.0000%,6.9565%,7.6389%,36.3636%,50.0000%,6.9565%,7.6389%,36.3636%,50.0000%,6.9565%,7.6389%,36.3636%,50.0000%,5.2174%,6.2500%,33.3333%,50.0000%,5.2174%,6.2500%,33.3333%,50.0000%,5.2174%,6.2500%,33.3333%,50.0000%,4.3478%,5.5556%,35.7143%,57.1429%,3.4783%,4.1667%,40.0000%,60.0000%,3.4783%,4.1667%,50.0000%,75.0000%,3.4783%,4.1667%,50.0000%,75.0000%
aiohttp,100.0000%,98.6166%,2.3181%,3.2955%,99.7151%,96.8379%,2.9215%,4.0902%,97.7208%,93.2806%,3.6969%,5.0873%,93.4473%,87.5494%,4.9220%,6.6477%,87.7493%,80.8300%,6.5310%,8.6726%,78.0627%,71.3439%,7.9054%,10.4155%,70.3704%,63.8340%,9.5960%,12.5486%,63.5328%,57.3123%,11.2286%,14.6022%,56.4103%,50.7905%,12.3288%,16.0025%,50.1425%,44.6640%,14.2626%,18.3144%,45.0142%,39.9209%,15.9274%,20.3629%,38.4615%,34.7826%,16.5848%,21.6216%,31.3390%,28.6561%,16.7683%,22.1037%,29.3447%,26.4822%,18.1979%,23.6749%,27.0655%,24.7036%,19.3878%,25.5102%,26.4957%,24.1107%,21.3303%,27.9817%,23.9316%,21.7391%,22.2222%,29.1005%,23.0769%,21.1462%,23.8235%,31.4706%,20.7977%,18.7747%,23.7013%,30.8442%,19.3732%,17.1937%,25.0000%,31.9853%
airflow,74.2222%,66.5012%,0.5290%,0.5943%,41.5556%,37.6817%,1.1320%,1.2869%,24.3111%,22.2616%,1.9596%,2.2498%,14.6667%,13.6122%,2.5365%,2.9516%,11.4222%,10.4573%,4.1094%,4.7170%,8.7556%,7.9050%,6.0615%,6.8615%,6.4000%,5.8135%,8.0357%,9.1518%,5.2000%,4.7501%,11.1855%,12.8107%,3.9111%,3.6512%,13.5385%,15.8462%,3.0667%,2.9422%,15.1982%,18.2819%,2.4444%,2.4105%,16.1765%,20.0000%,2.0000%,2.0206%,16.6667%,21.1111%,1.7333%,1.7370%,18.5714%,23.3333%,1.5556%,1.5243%,19.6629%,24.1573%,1.2000%,1.2407%,18.0000%,23.3333%,1.0667%,1.1343%,18.4615%,24.6154%,0.9778%,1.0280%,20.0000%,26.3636%,0.8889%,0.9571%,20.0000%,27.0000%,0.8889%,0.9571%,21.2766%,28.7234%,0.8444%,0.9217%,21.5909%,29.5455%
albumentations,98.9796%,99.1071%,7.2280%,8.2712%,79.5918%,81.2500%,9.8985%,11.5482%,60.2041%,61.6071%,12.1399%,14.1975%,51.0204%,52.6786%,14.7929%,17.4556%,37.7551%,39.2857%,14.9194%,17.7419%,34.6939%,36.6071%,18.6813%,22.5275%,26.5306%,29.4643%,17.8082%,22.6027%,25.5102%,28.5714%,20.1613%,25.8065%,18.3673%,20.5357%,18.7500%,23.9583%,14.2857%,16.9643%,18.9189%,25.6757%,13.2653%,15.1786%,21.6667%,28.3333%,12.2449%,14.2857%,22.2222%,29.6296%,8.1633%,10.7143%,18.1818%,27.2727%,8.1633%,10.7143%,19.0476%,28.5714%,8.1633%,10.7143%,20.0000%,30.0000%,8.1633%,10.7143%,21.0526%,31.5789%,7.1429%,9.8214%,20.5882%,32.3529%,7.1429%,9.8214%,20.5882%,32.3529%,7.1429%,9.8214%,21.8750%,34.3750%,7.1429%,9.8214%,23.3333%,36.6667%
allennlp,72.7467%,72.4166%,1.8115%,1.8711%,43.9556%,43.9275%,2.5314%,2.6248%,32.6356%,32.6472%,3.1443%,3.2636%,24.8612%,25.0720%,3.5217%,3.6851%,19.4361%,19.8024%,4.2310%,4.4728%,15.7625%,16.1383%,5.7032%,6.0587%,12.7296%,12.9271%,7.9087%,8.3333%,10.0812%,10.1276%,10.4889%,10.9333%,7.6463%,7.6986%,12.7857%,13.3571%,5.7240%,5.8049%,13.9583%,14.6875%,4.5280%,4.5286%,17.7258%,18.3946%,3.4173%,3.4170%,20.6186%,21.3918%,2.8193%,2.8407%,24.2647%,25.3676%,2.3921%,2.3878%,24.1379%,25.0000%,2.1786%,2.1820%,25.2475%,26.2376%,1.5378%,1.5233%,22.5000%,23.1250%,1.1106%,1.1116%,22.0339%,22.8814%,0.8116%,0.8234%,19.7917%,20.8333%,0.6408%,0.6587%,18.7500%,20.0000%,0.3845%,0.4117%,14.5161%,16.1290%
allura,93.6063%,93.7787%,0.6562%,0.9261%,84.0517%,81.3361%,1.1954%,1.6297%,70.2586%,66.4457%,2.2894%,3.0502%,55.1006%,52.1163%,4.0496%,5.3960%,43.8937%,41.4074%,6.8713%,9.1318%,34.5546%,32.8404%,9.1514%,12.2527%,28.1609%,26.8740%,11.4086%,15.3376%,23.2040%,22.5905%,13.0347%,17.8773%,19.3966%,19.1739%,14.8352%,20.6593%,15.9483%,16.1652%,15.5245%,22.1678%,14.3678%,14.5334%,16.7504%,23.8693%,12.1408%,12.5446%,17.0707%,24.8485%,10.4167%,11.1678%,17.4279%,26.3221%,9.3391%,9.9439%,18.1564%,27.2346%,8.1178%,8.9240%,18.4039%,28.5016%,6.6092%,7.5472%,17.9688%,28.9063%,5.9626%,6.6293%,18.4444%,28.8889%,5.6034%,6.3233%,19.5980%,31.1558%,5.4598%,6.0173%,20.7650%,32.2404%,4.8851%,5.2524%,21.1180%,31.9876%
altair,93.8889%,83.4862%,1.1020%,1.1868%,67.7778%,58.2569%,4.6743%,4.8659%,40.5556%,34.8624%,10.9281%,11.3772%,23.3333%,19.2661%,15.6716%,15.6716%,14.4444%,11.9266%,16.6667%,16.6667%,11.6667%,9.6330%,19.4444%,19.4444%,9.4444%,7.7982%,19.7674%,19.7674%,7.2222%,5.9633%,20.3125%,20.3125%,6.6667%,5.5046%,20.6897%,20.6897%,5.0000%,4.1284%,21.4286%,21.4286%,3.8889%,3.2110%,18.4211%,18.4211%,3.3333%,2.7523%,17.6471%,17.6471%,2.2222%,1.8349%,15.3846%,15.3846%,2.2222%,1.8349%,22.2222%,22.2222%,2.2222%,1.8349%,25.0000%,25.0000%,2.2222%,1.8349%,25.0000%,25.0000%,2.2222%,1.8349%,28.5714%,28.5714%,1.1111%,0.9174%,20.0000%,20.0000%,1.1111%,0.9174%,20.0000%,20.0000%,1.1111%,0.9174%,20.0000%,20.0000%
androguard,91.7098%,92.3077%,4.1394%,6.1740%,81.8653%,83.5664%,5.7413%,8.6846%,72.5389%,73.4266%,7.0707%,10.6061%,65.2850%,65.7343%,9.5599%,14.2640%,56.9948%,58.7413%,11.7521%,17.9487%,52.3316%,53.4965%,14.1854%,21.4888%,47.1503%,48.2517%,17.1053%,25.9398%,41.4508%,42.6573%,20.2020%,30.8081%,37.3057%,38.1119%,22.6415%,34.2767%,34.7150%,34.9650%,24.8148%,37.0370%,30.5699%,30.0699%,27.8302%,40.5660%,27.4611%,26.9231%,29.1209%,42.3077%,25.3886%,25.1748%,30.2469%,44.4444%,20.7254%,20.9790%,30.3030%,45.4545%,18.6528%,18.8811%,33.3333%,50.0000%,17.6166%,17.8322%,34.6939%,52.0408%,13.4715%,13.9860%,33.3333%,51.2821%,12.4352%,12.5874%,33.3333%,50.0000%,9.8446%,9.7902%,33.9286%,50.0000%,8.8083%,8.3916%,35.4167%,50.0000%
angr,82.4000%,70.9874%,1.3732%,2.2096%,43.6211%,42.2453%,2.2923%,4.1466%,29.5158%,29.7115%,3.6837%,6.9259%,20.0421%,20.9197%,5.0931%,9.9294%,12.6316%,14.0442%,6.2999%,13.0827%,8.3789%,10.0090%,7.2787%,16.2399%,5.7684%,7.1912%,9.1090%,21.2101%,4.4211%,5.0271%,11.5894%,24.6137%,3.4947%,3.7196%,13.9262%,27.6846%,2.4000%,2.6375%,14.3939%,29.5455%,1.7263%,1.9612%,14.8551%,31.5217%,1.3895%,1.5104%,16.0194%,32.5243%,1.3474%,1.3075%,20.0000%,36.2500%,0.9263%,1.0144%,17.1875%,35.1563%,0.7158%,0.7890%,18.0851%,37.2340%,0.5053%,0.6087%,17.1429%,38.5714%,0.4632%,0.5636%,18.9655%,43.1034%,0.4632%,0.5410%,23.9130%,52.1739%,0.3789%,0.4283%,25.0000%,52.7778%,0.3789%,0.4283%,28.1250%,59.3750%
anki,86.4105%,89.0859%,3.3051%,4.6817%,67.9475%,72.7831%,6.2912%,9.2589%,56.3261%,59.4816%,9.9339%,14.4132%,46.8604%,49.0450%,11.7647%,16.9176%,38.9878%,41.1323%,13.0000%,18.8438%,33.5520%,34.5157%,14.4122%,20.3704%,29.8032%,29.7408%,15.8052%,21.6700%,27.1790%,27.0123%,17.0588%,23.2941%,24.5548%,24.1473%,18.4248%,24.8945%,21.3683%,20.9413%,19.2568%,25.9291%,19.4939%,18.8950%,21.3552%,28.4394%,18.1818%,17.4625%,24.1294%,31.8408%,16.5886%,15.7572%,25.9531%,33.8710%,14.2455%,13.5061%,27.2401%,35.4839%,12.4649%,11.9372%,27.9412%,36.7647%,11.2465%,10.7094%,29.8507%,39.0547%,10.5904%,10.0273%,34.6626%,45.0920%,9.6532%,9.0041%,37.5912%,48.1752%,8.4349%,7.9809%,38.4615%,50.0000%,7.0291%,6.6849%,39.4737%,51.5789%
