project,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20
12306,1800,666,284,186,134,98,60,48,34,26,22,22,22,18,18,18,14,10,8,8
aiohttp,15142,11980,9278,6664,4716,3466,2574,1986,1606,1234,992,814,656,566,490,436,378,340,308,272
airflow,315692,82600,27914,13010,6254,3250,1792,1046,650,454,340,270,210,178,150,130,110,100,94,88
albumentations,1342,788,486,338,248,182,146,124,96,74,60,54,44,42,40,38,34,34,32,30
allennlp,94010,40650,24298,16526,10754,6470,3768,2250,1400,960,598,388,272,232,202,160,118,96,80,62
allura,198564,97872,42718,18940,8892,5256,3436,2478,1820,1430,1194,990,832,716,614,512,450,398,366,322
altair,15336,2610,668,268,156,108,86,64,58,42,38,34,26,18,16,16,14,10,10,10
androguard,4276,2752,1980,1318,936,712,532,396,318,270,212,182,162,132,108,98,78,72,56,48
angr,142516,45194,19030,9346,4762,2734,1504,906,596,396,276,206,160,128,94,70,58,46,36,32
anki,27896,11524,6050,4250,3200,2484,2012,1700,1422,1184,974,804,682,558,476,402,326,274,234,190
ansible,2068162,1042792,546120,210376,80094,34516,18722,12884,10172,8202,6554,4874,3670,2734,1966,1418,966,624,316,176
ArchiveBox,3572,1728,1144,596,410,272,186,82,42,26,22,12,12,10,8,6,4,4,2,2
astroquery,30126,12552,6082,3204,1888,1324,1008,800,660,514,360,248,174,114,84,64,40,38,32,16
asyncpg,1364,872,416,214,132,94,70,52,40,36,32,30,28,24,22,18,16,12,8,8
attrs,600,368,250,180,138,98,76,60,50,38,34,26,24,22,20,18,16,16,14,10
boto,44442,10062,3432,1758,1036,674,448,340,254,198,174,142,124,104,88,78,74,52,40,38
calibre,692818,169978,51224,16098,6846,3746,2510,1846,1344,1056,836,684,586,494,434,390,338,300,264,242
cassandra-dtest,14082,8300,5234,3832,2884,2198,1738,1352,1022,772,568,426,298,204,148,110,84,60,48,44
celery,84754,58198,45032,29300,18454,11772,9584,7942,6616,5500,4588,3808,3136,2596,2194,1850,1604,1356,1174,992
cerbero,1810,572,270,140,70,46,34,24,12,10,10,8,6,4,4,4,4,4,2,2
certbot,12500,5308,2880,1836,1266,952,802,696,614,560,514,490,458,428,420,406,404,400,392,390
ChatterBot,3654,1134,528,326,242,182,138,104,68,60,52,34,26,18,16,14,12,12,10,10
cherrypy,10208,9338,8822,8276,7702,7064,5848,4606,3598,2858,2276,1822,1420,1146,896,682,530,406,324,276
cobbler,7586,5818,4564,3482,2634,2074,1654,1302,1074,906,754,644,538,474,432,394,376,356,328,304
dagster,1023996,302534,94516,35864,20382,13318,9242,6688,5184,4152,3448,2936,2562,2230,1982,1808,1670,1528,1462,1388
dask,40832,32104,20768,13212,8682,5918,4058,3006,2240,1704,1352,1088,900,760,638,556,452,402,364,316
datasets,377952,87218,22676,12516,4652,1556,386,196,144,106,70,48,40,38,32,30,26,26,20,20
datasette,2474,1356,880,622,442,356,304,252,218,190,160,146,130,120,114,108,104,94,84,82
DeepFaceLab,7820,2370,1066,620,358,240,170,126,96,72,62,50,42,34,32,24,18,16,12,10
DeepSpeed,10274,2206,786,342,180,120,76,54,36,24,14,10,8,4,4,4,4,2,2,2
deis,1990,1128,818,374,252,196,144,118,110,90,78,64,44,34,26,16,16,12,8,6
deluge,60552,45108,36210,25504,15090,8752,5234,3328,2262,1574,1184,860,618,458,356,256,204,174,142,120
deoplete.nvim,1242,822,588,420,302,180,78,36,30,26,24,16,12,10,10,10,10,10,8,6
dirsearch,23648,8776,3724,214,146,106,78,32,20,8,6,6,6,6,6,2,2,2,2,2
discord.py,5236,3896,3498,2960,2484,2054,1638,1320,1082,900,772,670,586,498,440,388,338,290,252,218
django,1544980,459150,205632,106780,62120,39014,25660,17640,12574,9388,6974,5268,4048,3294,2550,2072,1722,1460,1176,980
django-allauth,148192,32414,9422,3478,1678,1064,702,506,352,258,198,160,132,102,92,76,64,58,54,44
django-cms,91740,29906,13926,7870,5110,3528,2486,1868,1328,1034,824,660,552,476,400,330,292,266,226,202
django-crispy-forms,630,458,334,256,210,172,138,102,88,70,62,54,40,30,30,28,20,20,18,12
django-haystack,15324,14712,13476,10806,5726,2608,1236,740,422,288,184,118,100,66,56,50,50,44,32,26
django-rest-framework,9460,5256,2798,1772,1158,782,536,400,308,246,204,166,134,130,110,88,74,60,54,42
django-tastypie,12258,3476,1310,610,384,246,192,148,108,84,72,58,52,50,44,40,34,30,28,22
docker-py,10612,2916,1474,840,512,336,216,158,128,102,78,60,52,50,44,38,30,26,24,24
docutils,36096,11870,5986,3372,2128,1346,896,576,432,334,288,234,192,176,160,140,70,58,54,42
dvc,68090,31154,18586,11910,8340,6078,4556,3450,2796,2244,1802,1494,1200,974,788,644,520,428,352,296
dymos,24200,6088,2580,1396,872,584,394,278,174,108,66,46,44,36,24,18,12,12,12,8
easytrader,770,454,388,274,192,120,88,70,58,48,36,32,22,20,18,12,8,6,6,6
edgedb,75442,31346,17762,12300,9432,7580,6266,5262,4484,3836,3304,2876,2480,2182,1918,1698,1534,1368,1216,1086
elastalert,548,368,238,168,140,124,108,98,76,62,58,54,52,42,38,36,34,30,26,26
elasticsearch-dsl-py,2572,562,204,122,94,70,56,50,40,36,32,32,28,24,18,18,18,12,12,8
electrum,32486,9590,4804,2814,1842,1336,1060,888,722,604,518,456,400,348,302,260,238,206,188,174
emissary,12784,4890,2576,1864,1572,1378,1170,872,472,154,52,38,32,20,14,12,12,10,8,6
espnet,293386,96710,22766,8680,3974,2502,1430,990,776,598,490,398,318,242,192,164,138,124,110,90
explainshell,578,122,30,16,12,8,8,8,8,8,6,6,4,4,2,2,2,2,2,2
fabric,1036,802,424,246,166,102,80,72,58,50,46,40,36,34,28,22,18,14,12,12
fail2ban,4630,2972,2228,1760,1428,1158,972,758,592,476,382,328,276,236,192,150,132,118,106,96
