project,exp h20-precision,exp_p1 h20-precision,exp h20-recall,exp_p1 h20-recall,exp-f1,exp_p1-f1
12306,6.09%,5.56%,11.11%,18.52%,7.87%,8.55%
aiohttp,16.81%,14.23%,10.77%,12.31%,13.13%,13.20%
airflow,0.93%,0.89%,13.11%,32.79%,1.74%,1.73%
albumentations,10.20%,9.82%,4.88%,14.63%,6.60%,11.75%
allennlp,0.34%,0.37%,50.00%,60.00%,0.68%,0.74%
allura,4.38%,4.13%,10.91%,14.55%,6.25%,6.43%
androguard,12.95%,12.24%,17.54%,21.05%,14.90%,15.48%
angr,0.84%,1.01%,16.67%,19.23%,1.60%,1.93%
anki,9.28%,8.66%,25.45%,32.73%,13.60%,13.70%
ansible,0.24%,0.24%,18.75%,37.50%,0.47%,0.47%
apprise,0.00%,0.13%,18.42%,23.68%,0.00%,0.26%
ArchiveBox,6.12%,6.59%,27.10%,33.64%,9.98%,11.02%
astroquery,6.19%,5.26%,43.65%,45.24%,10.84%,9.43%
asyncpg,9.38%,18.18%,19.09%,32.73%,12.57%,23.38%
calibre,2.49%,2.24%,16.98%,17.82%,4.35%,3.97%
cerbero,1.72%,1.76%,14.10%,18.80%,3.06%,3.23%
certbot,5.29%,6.39%,9.09%,36.36%,6.68%,10.87%
ChatterBot,6.19%,6.14%,12.07%,29.31%,8.18%,10.15%
cherrypy,21.79%,14.68%,12.68%,19.72%,16.03%,16.83%
dagster,1.35%,1.30%,12.00%,32.00%,2.43%,2.50%
darkflow,0.00%,3.90%,14.72%,17.77%,0.00%,6.39%
dash,4.44%,2.93%,19.35%,20.43%,7.23%,5.12%
dask,7.32%,6.82%,6.15%,8.00%,6.69%,7.36%
datasette,10.79%,12.11%,0.00%,7.14%,0.00%,8.98%
deap,2.63%,4.88%,8.33%,16.67%,4.00%,7.55%
DeepFaceLab,1.50%,2.05%,14.55%,21.82%,2.73%,3.75%
DeepSpeed,1.94%,1.76%,8.87%,11.29%,3.18%,3.04%
deis,7.14%,8.08%,27.88%,29.81%,11.37%,12.71%
deluge,3.74%,4.10%,16.28%,18.60%,6.09%,6.73%
deoplete.nvim,12.00%,12.50%,20.21%,34.04%,15.06%,18.29%
dirsearch,1.34%,1.27%,28.85%,34.62%,2.56%,2.45%
discord.py,8.21%,7.78%,18.03%,20.77%,11.28%,11.31%
django,1.21%,1.16%,14.04%,17.98%,2.22%,2.18%
django-cms,3.80%,4.41%,28.57%,33.33%,6.71%,7.79%
django-haystack,5.29%,6.29%,18.40%,19.02%,8.22%,9.45%
django-oscar,0.57%,0.91%,0.00%,11.11%,0.00%,1.68%
django-rest-framework,6.67%,7.07%,13.27%,29.38%,8.87%,11.40%
django-tastypie,5.96%,5.52%,20.69%,27.59%,9.25%,9.20%
docker-py,2.19%,2.33%,15.38%,20.51%,3.84%,4.18%
docutils,1.33%,2.43%,5.98%,9.35%,2.18%,3.86%
dvc,2.52%,2.44%,13.54%,14.99%,4.25%,4.20%
easytrader,0.00%,3.33%,10.00%,15.00%,0.00%,5.45%
edgedb,10.84%,10.49%,19.31%,32.19%,13.89%,15.83%
eht-imaging,9.13%,11.43%,21.88%,25.00%,12.89%,15.69%
