project,CCOR,BCOR,CCFOR,BCFOR,CPCO,BPCO,chacmtfiles,bugcmtfiles,chacmters,bugcmters,chacmts,bugcmts
12306,11.16666667,1.166666667,2.472222222,1.166666667,0.078718057,0.060606061,72,12,30,3,316,4
Agriculture_KnowledgeGraph,3.389473684,Null,1.671052632,null,0.105269152,null,380,0,7,0,136,0
aiohttp,32.62898551,15.53254438,8.571014493,7.162721893,0.040431455,0.04388945,345,338,559,437,5014,1715
airavata-django-portal,5.117647059,Null,1.607843137,null,0.048096355,null,510,0,8,0,578,0
airflow,10.55229358,6.809751434,6.30733945,5.194072658,0.05609665,0.059484548,1090,1046,874,706,4163,2086
akshare,16.84527221,Null,1.126074499,null,0.014892704,null,349,0,18,0,2003,0
albumentations,16.54320988,12.35897436,5.987654321,5.294871795,0.114208693,0.106851496,81,78,104,91,564,327
algo,8.870056497,6.954285714,2.740112994,2.582857143,0.07635415,0.06896839,177,175,144,137,779,487
algorithms,2.67003367,2.186619718,2.053872054,1.852112676,0.115379173,0.061171806,297,284,136,103,338,195
allennlp,11.26243568,11.02777778,4.682675815,4.694444444,0.028406896,0.028424322,583,576,199,197,1890,1769
allura,14.40929204,12.84301413,4.02359882,3.457613815,0.040216517,0.044992659,1356,1274,68,60,7229,6276
AlphaPose,1.991071429,1.064935065,1.415178571,1.051948052,0.055225943,0.055972678,224,77,15,5,115,6
altair,7.945205479,1.290322581,2.133561644,1.161290323,0.023036368,0.009283088,292,31,107,17,1249,30
androguard,11.39676113,2.507936508,3.068825911,1.53968254,0.10633932,0.102567153,247,63,81,17,1237,73
angr,8.896460177,3.756126021,2.851327434,1.880980163,0.012525072,0.009711496,1130,857,185,100,4189,1005
anki,10.29296875,1.48358209,1.659375,1.202985075,0.159115513,0.023861189,1280,335,73,16,4084,80
ansible,5.122116562,3.764351349,2.814989172,2.381385239,0.002666145,0.00178127,10621,10121,2837,1971,18876,11281
apex,4.254691689,2.054878049,1.919571046,1.554878049,0.020162594,0.022555995,373,328,82,58,669,172
apistar,5.916666667,2.733333333,1.770833333,1.488888889,0.373641487,0.389309057,96,90,52,35,349,75
apprise,11.76630435,7.272222222,1.304347826,1.2,0.046957526,0.045160373,184,180,26,19,435,222
apscheduler,8.47,3.05,1.21,1.4,0.038322935,0.046259296,100,20,17,12,393,41
ArchiveBox,15.4375,2.333333333,2.25,2,0.145247807,0.45,192,3,60,5,1986,6
asm-dude,13.20711974,1,1.051779935,1,0.029216109,null,309,1,9,1,714,1
