project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
12306,1,1,2,3,7,2.695652174,1,1,3,3.75,7,2.852941176,1,1,1.5,1.25,1,1.058349146
Agriculture_KnowledgeGraph,1,1,2,2,3,1.583333333,1,1,2,2,3,1.666666667,1,1,1,1,1,1.052631579
aiohttp,1,6,12,21.25,74,17.43181818,1,5,11,20.25,74,16.17708333,1,0.833333333,0.916666667,0.952941176,1,0.928020426
airavata-django-portal,0,0,1,2,6,1.045112782,0,1,1,2,6,1.6,NA,NA,1,1,1,1.530935252
airflow,0,2,4,7,104,6.239048811,0,2,5,9,104,8.024663677,NA,1,1.25,1.285714286,1,1.286199855
akshare,0,1,1,1,4,1.090163934,1,1,1,1,2,1.2,NA,1,1,1,0.5,1.10075188
albumentations,1,3,6,10,46,9.051282051,1,6,7.5,18.25,46,13.55555556,1,2,1.25,1.825,1,1.497639282
algo,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
algorithms,0,0,1,2,18,1.380804954,0,0.25,1,2,10,1.666666667,NA,NA,1,1,0.555555556,1.207025411
allennlp,0,1,2,7,43,4.429084381,0,1,5,9,43,6.753521127,NA,1,2.5,1.285714286,1,1.524812026
allura,0,3,5,9,34,6.900249377,0,4,6,11.25,34,8.115671642,NA,1.333333333,1.2,1.25,1,1.176141788
AlphaPose,0,1,1,2,8,1.481481481,0,1,1,2,7,1.716981132,NA,1,1,1,0.875,1.158962264
altair,1,1,2,4,10,2.465909091,0,1,1,4,6,2.216216216,0,1,0.5,1,0.6,0.89874206
androguard,0,3,4,7,37,5.230769231,0,3,5,7,37,5.807017544,NA,1,1.25,1,1,1.110165119
angr,0,1,2,3,33,2.970767357,0,1,3,5,33,3.557446809,NA,1,1.5,1.666666667,1,1.197484145
anki,0,1,1,3,18,2.62195122,1,2,3,5,18,4.024793388,NA,2,3,1.666666667,1,1.535037478
ansible,0,2,3,6,96,5.021037037,0,2,4,7,71,6.117536141,NA,1,1.333333333,1.166666667,0.739583333,1.218381003
apex,0,1,1,2,10,1.77486911,0,1,1,3,10,2.023255814,NA,1,1,1.5,1,1.139946491
apistar,1,1,1,2,6,1.666666667,1,1,1,2,6,1.923076923,1,1,1,1,1,1.153846154
apprise,0,1,1,1,8,1.32173913,0,1,1,1,8,1.25203252,NA,1,1,1,1,0.947261446
apscheduler,1,1,1,1,3,1.06122449,1,1,1,1,3,1.166666667,1,1,1,1,1,1.099358974
ArchiveBox,1,2,3,4,10,2.954545455,1,3,3,4,9,3.630434783,1,1.5,1,1,0.9,1.228762542
asm-dude,0,0,1,1,1,0.555555556,1,1,1,1,1,1,NA,NA,1,1,1,1.8
astroquery,0,2,3,6,15,4.160337553,0,2,4,7,15,4.925925926,NA,1,1.333333333,1.166666667,1,1.184020735
asyncpg,1,2,3,5.5,20,4.434782609,1,2,3,4.25,20,4.178571429,1,1,1,0.772727273,1,0.942226891
attrs,0,1,4,8.5,45,6.105263158,0,2.25,6.5,9.75,45,8.833333333,NA,2.25,1.625,1.147058824,1,1.44683908
dagster,0,1,3,6,24,4.080808081,0,2,5,8,24,5.354399009,NA,2,1.666666667,1.333333333,1,1.312092826
DAIN,0,1,1,1,3,1.142857143,0,1,1,1,1,0.962962963,NA,1,1,1,0.333333333,0.842592593
darkflow,0,0,1,2,5,1.21875,0,0,1,2,5,1.304347826,NA,NA,1,1,1,1.070234114
dash,0,1,2,4,39,3.147435897,0,1,1,3,39,2.762589928,NA,1,0.5,0.75,1,0.877727146
dask,1,6,10,17,125,13.70852018,1,7,12.5,18.25,125,15.85714286,1,1.166666667,1.25,1.073529412,1,1.156736296
datasets,0,1,3,4,17,2.989208633,0,2,3,4,17,3.532110092,NA,2,1,1,1,1.181620464
datasette,1,1,2,3,10,2.426229508,1,1,1.5,4,10,2.805555556,1,1,0.75,1.333333333,1,1.156343844
deap,0,1,2,3,8,2.533333333,0,1,1,2.5,8,2.126984127,NA,1,0.5,0.833333333,1,0.839598997
DeDRM_tools,0,1,2,3,6,2.142857143,0,1,2,3,6,2.34375,NA,1,1,1,1,1.09375
deep-learning-for-image-processing,0,1,1,1,2,0.979020979,0,1,1,1,2,1,NA,1,1,1,1,1.021428571
DeepCTR,0,1,2,2,6,1.783783784,4,4.25,4.5,4.75,5,4.5,NA,4.25,2.25,2.375,0.833333333,2.522727273
DeepFaceLab,0,1,1,2,6,1.511278195,0,1,2,2,6,1.933333333,NA,1,2,1,1,1.279270315
DeepPavlov,0,1,3,5,33,3.826366559,0,1,2.5,4.25,33,3.853448276,NA,1,0.833333333,0.85,1,1.007077659
DeepSpeed,0,1,2,4,21,2.807291667,0,1,3,5,21,3.759036145,NA,1,1.5,1.25,1,1.339025862
deis,1,2,3,5,14,4.075471698,1,3,4,5,14,4.68,1,1.5,1.333333333,1,1,1.148333333
deluge,0,1,2,4,16,3.012145749,0,2,3,4,14,3.382352941,NA,2,1.5,1,0.875,1.122904807
deoplete.nvim,0,1,1,3,12,2.697674419,1,2,3.5,9,12,5.1,NA,2,3.5,3,1,1.890517241
Detectron,0,0,1,2,11,1.463414634,0,0,1,2,11,1.638888889,NA,NA,1,1,1,1.119907407
detectron2,0,2,2,3,22,2.913875598,0,2,3,4,22,3.615384615,NA,1,1.5,1.333333333,1,1.240747758
diagrams,1,1,1,2,33,1.956097561,6,6.25,6.5,6.75,7,6.5,6,6.25,6.5,3.375,0.212121212,3.322942643
dirsearch,0,1,2,3,9,2.038793103,0,1,1,3,9,1.817204301,NA,1,0.5,1,1,0.891313738
discord.py,0,3,7,16,62,12.11650485,1,5,12,22,62,15.89041096,NA,1.666666667,1.714285714,1.375,1,1.311468212
django-allauth,0,2,2,3,42,3.354906054,0,2,3,4,42,4.361344538,NA,1,1.5,1.333333333,1,1.299990064
django-cms,1,3,6,11,70,9.539033457,2,5,8,15.75,70,12.47826087,2,1.666666667,1.333333333,1.431818182,1,1.308126334
django-crispy-forms,2,7,16,22,26,14.9047619,7,17,20,23,25,18.44444444,3.5,2.428571429,1.25,1.045454545,0.961538462,1.237486688
django-extensions,1,3,6,12,53,8.977443609,1,3,8,16,53,12.39534884,1,1,1.333333333,1.333333333,1,1.380721437
django-haystack,1,4,5,8,30,6.684210526,1,4,6,9,30,7.810810811,1,1,1.2,1.125,1,1.168546499
django-oscar,0,1,2,4,28,3.063492063,0,2,3,5,24,3.878571429,NA,2,1.5,1.25,0.857142857,1.266062176
django-rest-framework,0,4,8,13,117,12.01612903,0,6,11,17,117,14.91566265,NA,1.5,1.375,1.307692308,1,1.241303469
django-tastypie,1,3,4,6,60,5.8,1,4,6,10.25,60,9.431818182,1,1.333333333,1.5,1.708333333,1,1.626175549
DjangoBlog,0,2,3,3,5,2.682539683,1,3,3,4,5,3.205882353,NA,1.5,1,1.333333333,1,1.195092238
doccano,0,0,1,1,5,0.954545455,0,1,1,2,5,1.204081633,NA,NA,1,2,1,1.261418853
docker-py,0,2,4.5,9,118,7.734375,2,3,6,10,118,11.84444444,NA,1.5,1.333333333,1.111111111,1,1.531402918
docker-stacks,1,1.75,2,2,4,2,1,2.5,3,4,12,3.473684211,1,1.428571429,1.5,2,3,1.736842105
docutils,0,2,3,4,15,3.207253886,1,3,4,6,15,4.527027027,NA,1.5,1.333333333,1.5,1,1.411496311
dotbot,1,1,1.5,2,8,2.272727273,1,2,3,6,8,3.777777778,1,2,2,3,1,1.662222222
dowhy,1,1,2,3,9,2.534090909,1,1,3,4.75,9,3.152173913,1,1,1.5,1.583333333,1,1.243907194
dvc,0,2,5,8,41,5.902097902,0,2.25,5,9,41,6.516339869,NA,1.125,1,1.125,1,1.104071802
dymos,0,1,1,2,4,1.580487805,0,1,2,3,4,1.905882353,NA,1,2,1.5,1,1.205882353
easytrader,1,1,2,6,14,4,1,1,3,6,14,4.214285714,1,1,1.5,1,1,1.053571429
edgedb,0,2,4,5,11,3.805333333,0,3,4,6,11,4.313559322,NA,1.5,1,1.2,1,1.133556234
Eel,1,1,2,3,14,3.222222222,0,0,0,0,0,0,0,0,0,0,0,0
