project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
12306,0,38,107.5,218.5,5097,315,20,55.5,124.5,220.5,5097,352.8235294,NA,1.460526316,1.158139535,1.009153318,1,1.120074697
Agriculture_KnowledgeGraph,3,70.5,123.5,305.25,24858,769.4333333,21,92.25,285,371.25,816,299.3333333,7,1.308510638,2.307692308,1.216216216,0.032826454,0.389030889
aiohttp,47,430.5,1120.5,2893,12869,2269.863636,6,324,1027,2893,12869,2147.520833,0.127659574,0.75261324,0.916555109,1,1,0.946101254
airavata-django-portal,0,0,17,78,54700,641.593985,0,33.5,209,1088.75,54700,3373.55,NA,NA,12.29411765,13.95833333,1,5.258076103
airflow,0,83,135,274.5,10794,297.6220275,0,103.25,180,385,10794,418.558296,NA,1.243975904,1.333333333,1.402550091,1,1.406341793
akshare,0,81.75,154,358,7471,350.9959016,137,168,499,909,6621,1666.8,NA,2.055045872,3.24025974,2.539106145,0.886226743,4.748773397
albumentations,3,139.5,394,882,7882,929.1538462,6,319,725.5,1991.75,7882,1521.944444,2,2.286738351,1.841370558,2.258219955,1,1.637989716
algo,0,0,0,0,0,0,93,141.75,190.5,239.25,288,190.5,NA,NA,NA,NA,NA,NA
algorithms,0,0,21,46,835,43.85758514,0,0.75,56,147.5,534,88.73333333,NA,NA,2.666666667,3.206521739,0.639520958,2.02321521
allennlp,0,42,114,277,8838,264.4452424,0,130.5,259.5,583.5,8838,540.7887324,NA,3.107142857,2.276315789,2.106498195,1,2.044993238
allura,0,64,175,591,8114,572.3690773,0,132.5,349,886.5,8114,769.5932836,NA,2.0703125,1.994285714,1.5,1,1.34457523
AlphaPose,0,37,114,274.5,908,184.9407407,0,109,238,356,908,254.6415094,NA,2.945945946,2.087719298,1.296903461,1,1.376881635
altair,7,78.5,234,693.75,36919,1466.056818,0,65,215,690,3693,585.9459459,0,0.828025478,0.918803419,0.994594595,0.100029795,0.399674787
androguard,0,117.75,508.5,1222,43760,1744.794872,0,157,657,1473,43760,2139.087719,NA,1.333333333,1.292035398,1.205400982,1,1.225982351
angr,0,36,95,356,8956,446.8477467,0,33,88,286,8956,337.2453901,NA,0.916666667,0.926315789,0.803370787,1,0.754721027
anki,0,7,76.5,333,8307,381.7723577,4,175,279,714,4791,592.1570248,NA,25,3.647058824,2.144144144,0.576742506,1.551073599
ansible,0,106,222,449.5,13545,393.6631111,0,142.5,302,597,13545,523.2853551,NA,1.344339623,1.36036036,1.32814238,1,1.32927201
apex,0,48.5,114,235.5,2994,224.3926702,0,81.5,167,282.75,2994,340.0465116,NA,1.680412371,1.464912281,1.200636943,1,1.515408286
apistar,6,84,208,466.75,1081,327.25,23,129,210,350,739,292.0769231,3.833333333,1.535714286,1.009615385,0.749866095,0.683626272,0.892519245
apprise,0,324,497,781.5,12303,741.2695652,0,318,476,749,12303,692.5691057,NA,0.981481481,0.957746479,0.958413308,1,0.934301283
apscheduler,5,32,85,364,5230,333.1020408,5,62.5,408.5,607.25,5230,805.3333333,1,1.953125,4.805882353,1.668269231,1,2.417677572
ArchiveBox,1,60,146.5,274.5,3509,299.1818182,28,116.5,183,420.5,3401,347.8695652,28,1.941666667,1.249146758,1.531876138,0.969222001,1.162736316
asm-dude,0,0,12,337,11271,883.4444444,10,61.75,122.5,167,170,106.25,NA,NA,10.20833333,0.495548961,0.015082956,0.120267891
astroquery,0,71,189,553,7107,578.3459916,0,193.75,475.5,1293,7107,1013.361111,NA,2.728873239,2.515873016,2.338155515,1,1.752171064
asyncpg,23,149,384,1234.5,4965,828.0869565,41,178,391,806.5,4965,777.0714286,1.782608696,1.194630872,1.018229167,0.653300932,1,0.938393513
attrs,0,71,204.5,589,7105,647.8947368,0,161.5,361,1048.75,7105,1078.388889,NA,2.274647887,1.765281174,1.780560272,1,1.664450763
dagster,0,25,99,331,5809,318.579479,0,96.5,288,636.5,5809,552.551425,NA,3.86,2.909090909,1.922960725,1,1.734422527
DAIN,0,13,42,97,1046,111.6883117,0,68.5,97,281.5,1046,209.0740741,NA,5.269230769,2.30952381,2.902061856,1,1.871942291
darkflow,0,0,5,24.25,464,43.84375,0,0,6,33,350,39.43478261,NA,NA,1.2,1.360824742,0.754310345,0.89943909
dash,0,8,49.5,261.5,9539,353.25,0,7,22,229,9539,328.2517986,NA,0.875,0.444444444,0.875717017,1,0.929233683
dask,1,175.5,647,1395.5,24325,1415.318386,15,300.75,790,1756,24325,1752.630952,15,1.713675214,1.221020093,1.258330348,1,1.238329813
datasets,0,79.25,126.5,259.25,8452,295.6906475,0,113,211,516,8452,472.1926606,NA,1.425867508,1.66798419,1.990356798,1,1.596914426
