project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
12306,1,2,6.5,13.25,136,12.86956522,1,2,7.5,14,136,14.08823529,1,1,1.153846154,1.056603774,1,1.094693959
Agriculture_KnowledgeGraph,1,2,3,4.25,21,3.933333333,1,1,3.5,5.75,21,5.5,1,0.5,1.166666667,1.352941176,1,1.398305085
aiohttp,5,18.75,42,88,456,77.61363636,1,15.5,38,80.25,456,68.77083333,0.2,0.826666667,0.904761905,0.911931818,1,0.886066374
airavata-django-portal,0,0,1,5,104,4.84962406,0,2.75,5.5,12.5,104,15.9,NA,NA,5.5,2.5,1,3.278604651
airflow,0,2,5,9,341,10.4931164,0,3,6,13,341,14.46188341,NA,1.5,1.2,1.444444444,1,1.378225768
akshare,0,3,5,8,1104,11.55327869,3,4,4,4,6,4.2,NA,1.333333333,0.8,0.5,0.005434783,0.363533168
albumentations,1,4,11,30.5,177,26.48717949,1,9.25,21.5,55.25,177,42.44444444,1,2.3125,1.954545455,1.81147541,1,1.602452404
algo,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
algorithms,0,0,1,2,25,1.560371517,0,0.25,1,2,12,1.9,NA,NA,1,1,0.48,1.21765873
allennlp,0,1,4,12,202,9.940754039,0,2,8,22.75,202,17.80985915,NA,2,2,1.895833333,1,1.791600424
allura,0,5,12,33,556,33.14962594,0,7,18,51.25,556,44.58955224,NA,1.4,1.5,1.553030303,1,1.34509971
AlphaPose,0,1,1,2,16,2.125925926,0,1,1,3,14,2.58490566,NA,1,1,1.5,0.875,1.215896391
altair,1,3.75,7,17,83,13.67045455,0,2,4,17,83,12.54054054,0,0.533333333,0.571428571,1,1,0.917346274
androguard,0,6,16,31.75,288,28.8974359,0,7,19,35,288,33.64912281,NA,1.166666667,1.1875,1.102362205,1,1.164432821
angr,0,1,3,9,326,10.15712546,0,2,5,11,326,12.14609929,NA,2,1.666666667,1.222222222,1,1.195820544
anki,0,2,6,25,246,21.42682927,2,10,21,47,246,36.66115702,NA,5,3.5,1.88,1,1.7109931
ansible,0,2,5,11,370,10.14874074,0,2.5,7,14,370,13.54808297,NA,1.25,1.4,1.272727273,1,1.33495212
apex,0,1,1,3,63,4.460732984,0,1,1,4.75,63,6.465116279,NA,1,1,1.583333333,1,1.449339448
apistar,1,2,2,4.75,114,9.208333333,1,2,3,7,30,5.923076923,1,1,1.5,1.473684211,0.263157895,0.643230073
apprise,0,3,9,19,132,13.93043478,0,3,7,17,132,11.87804878,NA,1,0.777777778,0.894736842,1,0.85266892
apscheduler,1,2,4,7,68,7.693877551,1,3.75,7,18.25,68,13.58333333,1,1.875,1.75,2.607142857,1,1.765473033
ArchiveBox,1,4,9,18,145,17.54545455,2,8.25,13,28.5,145,23.15217391,2,2.0625,1.444444444,1.583333333,1,1.319553954
asm-dude,0,0,1,1,10,1.088888889,1,6.25,8.5,9.25,10,7,NA,NA,8.5,9.25,1,6.428571429
astroquery,0,4,10,24,227,20.87763713,0,5,17,37.25,227,32.35185185,NA,1.25,1.7,1.552083333,1,1.549593551
asyncpg,1,6.5,14,23.5,150,23.47826087,1,7,13,37,150,25.96428571,1,1.076923077,0.928571429,1.574468085,1,1.105886243
attrs,0,2,6.5,23.75,192,20.92105263,0,4.25,11,26.25,192,29.61111111,NA,2.125,1.692307692,1.105263158,1,1.415373864
dagster,0,1,4,13,291,13.54758107,0,3,10,23,291,18.75960347,NA,3,2.5,1.769230769,1,1.384719779
DAIN,0,1,1,1,8,1.467532468,0,1,1,1,4,1.333333333,NA,1,1,1,0.5,0.908554572
darkflow,0,0,1.5,4,20,3.3125,0,0,2,4.5,20,3.391304348,NA,NA,1.333333333,1.125,1,1.023789992
dash,0,1,2,9,427,12.47435897,0,1,2,6,427,10.14388489,NA,1,1,0.666666667,1,0.813178851
dask,1,9,22,50.5,743,46.74439462,1,13,27.5,55,743,55.41071429,1,1.444444444,1.25,1.089108911,1,1.185398051
datasets,0,1,3,7,124,6.910071942,0,2,5,11,124,11.0733945,NA,2,1.666666667,1.571428571,1,1.602500609
datasette,1,6,14,38,372,38,1,6.5,25.5,79.75,372,54.88888889,1,1.083333333,1.821428571,2.098684211,1,1.444444444
deap,0,1,4,10,42,7.6,0,1,2,5,135,8.571428571,NA,1,0.5,0.5,3.214285714,1.127819549
DeDRM_tools,0,2,4,8,15,5.214285714,0,3,5,8,19,6.1875,NA,1.5,1.25,1,1.266666667,1.186643836
deep-learning-for-image-processing,0,1,2,4,28,3.444055944,0,1,3,6.5,28,4.898989899,NA,1,1.5,1.625,1,1.422447829
DeepCTR,0,3,7,13,40,8.792792793,10,11.5,13,14.5,16,13,NA,3.833333333,1.857142857,1.115384615,0.4,1.478483607
DeepFaceLab,0,1,3,12,106,10.38345865,0,4,13,21,106,20.97777778,NA,4,4.333333333,1.75,1,2.020307346
DeepPavlov,0,2,4,7,169,7.697749196,0,1,3,6,169,8.982758621,NA,0.5,0.75,0.857142857,1,1.166933137
DeepSpeed,0,1,3,5,99,5.255208333,0,2,4,11,99,8.120481928,NA,2,1.333333333,2.2,1,1.545225501
deis,1,3,7,18,133,15.66037736,1,5,15,24,133,21.52,1,1.666666667,2.142857143,1.333333333,1,1.374168675
deluge,0,5,10,21,424,25.27935223,0,6,13,26,409,29.84705882,NA,1.2,1.3,1.238095238,0.964622642,1.180689226
deoplete.nvim,0,5,8,22,316,27.06976744,5,22,41,83.25,316,74,NA,4.4,5.125,3.784090909,1,2.733676976
Detectron,0,0,1,3,14,2.109756098,0,0,1,3,14,2.138888889,NA,NA,1,1,1,1.013808606
detectron2,0,2,5,9.75,56,7.93062201,0,4,8,15,56,11.37362637,NA,2,1.6,1.538461538,1,1.43414052
diagrams,1,1,1,2,57,2.297560976,13,16.75,20.5,24.25,28,20.5,13,16.75,20.5,12.125,0.49122807,8.922505308
dirsearch,0,1,2,3,131,4.125,0,1,1,3,131,6.225806452,NA,1,0.5,1,1,1.509286413
discord.py,0,4.5,18,52.5,612,51.40776699,1,14,34,74,612,68.78082192,NA,3.111111111,1.888888889,1.40952381,1,1.337946111
django-allauth,0,2,4,6,137,7.444676409,0,3,5,10,137,11.05882353,NA,1.5,1.25,1.666666667,1,1.485467322
django-cms,1,4,12,28,579,32.60966543,2,9.25,20,52.75,579,48.02173913,2,2.3125,1.666666667,1.883928571,1,1.472622871
django-crispy-forms,2,14,40,67,80,42.19047619,10,40,67,78,80,55.55555556,5,2.857142857,1.675,1.164179104,1,1.316779533
django-extensions,1,4,11,25,237,21.5112782,1,4,13,40.5,134,29.04651163,1,1,1.181818182,1.62,0.565400844,1.350292222
django-haystack,1,6,10.5,15.75,145,18.47368421,1,7,12,22,145,23.12162162,1,1.166666667,1.142857143,1.396825397,1,1.251597752
django-oscar,0,1,3,7,228,5.871031746,0,2,4,9,79,7.185714286,NA,2,1.333333333,1.285714286,0.346491228,1.223927002
django-rest-framework,0,7,16,35,493,36.22580645,0,9.5,22,44,493,45.80722892,NA,1.357142857,1.375,1.257142857,1,1.264491626
django-tastypie,1,3,6,13,285,15.52,1,7,12.5,28.75,285,30.81818182,1,2.333333333,2.083333333,2.211538462,1,1.985707591
DjangoBlog,0,4,8,16.5,62,12.77777778,3,7.25,14,22.75,62,18.17647059,NA,1.8125,1.75,1.378787879,1,1.422506394
doccano,0,0,2,4,19,2.647727273,0,1,3,4,19,3.775510204,NA,NA,1.5,1,1,1.425943768
docker-py,0,4,9,24,405,22.6640625,2,8,16,32,405,35.57777778,NA,2,1.777777778,1.333333333,1,1.569788196
docker-stacks,1,4.75,11,15.25,20,10.5,3,5.5,8,9.5,33,9.368421053,3,1.157894737,0.727272727,0.62295082,1.65,0.892230576
docutils,0,4,10,21,185,18.91709845,1,9,21,37,185,33.35135135,NA,2.25,2.1,1.761904762,1,1.76302679
dotbot,1,1,2,5.5,18,4.363636364,1,3,4,11,18,6.888888889,1,3,2,2,1,1.578703704
dowhy,1,1,4,9.25,37,7.522727273,1,2,6.5,19,37,10.52173913,1,2,1.625,2.054054054,1,1.398660187
dvc,0,5,12,27,262,23.71328671,0,6,14,33,219,26.91176471,NA,1.2,1.166666667,1.222222222,0.835877863,1.13488126
dymos,0,1,2,4,50,4.346341463,0,2,5,9,50,7.070588235,NA,2,2.5,2.25,1,1.626790784
easytrader,1,2.25,9,22.5,148,21.4,1,2.75,13.5,22.5,77,19.21428571,1,1.222222222,1.5,1,0.52027027,0.897863818
edgedb,0,3.5,10,33.5,307,29.14666667,0,5,17,43,282,35.38983051,NA,1.428571429,1.7,1.28358209,0.918566775,1.21419821
Eel,1,2,3.5,6,57,8.055555556,0,0,0,0,0,0,0,0,0,0,0,0
eht-imaging,1,4,8,34,269,31.1884058,0,5,10,41,269,36.57407407,0,1.25,1.25,1.205882353,1,1.172681743
elastalert,1,5,11,75.5,317,56.07407407,9,15.5,72,143,317,101.9090909,9,3.1,6.545454545,1.894039735,1,1.817401225
elasticsearch-dsl-py,0,0,2,9.5,121,15.6031746,0,0,2,16.25,121,20.47727273,NA,NA,1,1.710526316,1,1.312378618
elasticsearch-py,0,1,5,9,90,9.531531532,14,14.25,20,25,32,20.83333333,NA,14.25,4,2.777777778,0.355555556,2.185727788
electrum,0,2,9.5,31.75,585,30.50393701,0,4,16,39.5,585,39.30366492,NA,2,1.684210526,1.244094488,1,1.288478432
emissary,0,1,4,9,164,9.09947644,0,2,7,10,164,11.02040816,NA,2,1.75,1.111111111,1,1.211103544
espnet,0,3,7,14,260,13.79119086,0,4,8,17,260,16.62690355,NA,1.333333333,1.142857143,1.214285714,1,1.205617681
esptool,0,3,5,10.5,394,17.70212766,0,2.75,5,10.25,394,19.6,NA,0.916666667,1,0.976190476,1,1.107211538
EverydayWechat,1,3,5.5,8,25,6.470588235,0,0,0,0,0,0,0,0,0,0,0,0
explainshell,1,2,2.5,3.5,44,8.833333333,1,2,3,5.5,51,9.526315789,1,1,1.2,1.571428571,1.159090909,1.078450844
fabric,1,8.25,16.5,42.5,220,35.08823529,7,16.5,27.5,50.25,220,41.875,7,2,1.666666667,1.182352941,1,1.19341995
facenet,0,0,1,10,59,7.03030303,0,0,1.5,10.25,29,5.461538462,NA,NA,1.5,1.025,0.491525424,0.776856764
faceswap,0,3,8,15,104,13.38216561,0,5,10,19,104,16.21238938,NA,1.666666667,1.25,1.266666667,1,1.21149221
fail2ban,1,16.25,28.5,46.25,156,37.59459459,2,18,31,55,156,43.90566038,2,1.107692308,1.087719298,1.189189189,1,1.167871628
fairseq,0,1,3,8,191,8.361934477,0,1,3,9.75,191,9.488479263,NA,1,1,1.21875,1,1.134722986
faker,0,2,4,6,238,6.479052823,1,2,5,10,102,8.496183206,NA,1,1.25,1.666666667,0.428571429,1.31133106
falcon,1,3,7,17,239,15.44512195,1,4,8,19,239,17.31192661,1,1.333333333,1.142857143,1.117647059,1,1.120866942
fastapi,0,1,2,5,138,4.415274463,0,2,4,6,94,5.735772358,NA,2,2,1.2,0.68115942,1.299074929
FATE,0,0,1,4,55,2.804464286,0,0.75,2,5,55,3.988175676,NA,NA,2,1.25,1,1.422081107
faust,0,3,7,18,233,19.70446735,0,4,9,26,233,26.18041237,NA,1.333333333,1.285714286,1.444444444,1,1.328653645
featuretools,0,2,5,14.5,99,11.54814815,1,6,13,23,99,17.80327869,NA,3,2.6,1.586206897,1,1.541656589
flair,1,6,16,37,292,38.32835821,1,6,15,39,292,41.34693878,1,1,0.9375,1.054054054,1,1.078755801
Flashlight,0,1,1,2,72,1.891634981,0,1,1,1,72,2.027586207,NA,1,1,0.5,1,1.071869693
flask,1,3.5,7,19,97,16.43137255,2,5,14,26.75,97,21.26086957,2,1.428571429,2,1.407894737,1,1.293919269
flask-admin,0,3,6,17.5,209,15.65546218,0,3,10,28,209,21.37681159,NA,1,1.666666667,1.6,1,1.365453881
Flask-AppBuilder,0,2,4,14,300,14.43253968,0,3,8,24,300,24.56896552,NA,1.5,2,1.714285714,1,1.702331402
flask-sqlalchemy,0,2,4,7,16,5.307692308,0,2,5,7,14,5.476190476,NA,1,1.25,1,0.875,1.031746032
flocker,1,7,16,42.75,556,47.1409396,1,9,26,64,556,62.51595745,1,1.285714286,1.625,1.497076023,1,1.326150008
flower,0,2,10,30,95,19.54545455,1,8,22,45.5,78,27.95,NA,4,2.2,1.516666667,0.821052632,1.43
fluo-muchos,1,3,5,10,21,7.571428571,1,2.5,4,12.5,21,8.666666667,1,0.833333333,0.8,1.25,1,1.144654088
folium,1,5.75,10,18,194,21.453125,1,4,10,18,194,26.81818182,1,0.695652174,1,1,1,1.250082765
formspree,1,5.75,9.5,36.5,130,24.42857143,1,6.5,16.5,36.5,130,31.5625,1,1.130434783,1.736842105,1,1,1.292032164
freqtrade,0,5.25,15,36.5,738,43.41919192,0,12,24,64,738,64.6,NA,2.285714286,1.6,1.753424658,1,1.487821333
full-stack-fastapi-postgresql,0,3,4,5,10,4.23255814,3,3.25,4.5,6.75,8,5,NA,1.083333333,1.125,1.35,0.8,1.181318681
gajim,0,4,8,16.5,168,17.4952381,0,5,9,18.75,168,20.13253012,NA,1.25,1.125,1.136363636,1,1.15074342
gallery-dl,0,6,14,29,255,28.11398964,1,7,17,31,218,29.40522876,NA,1.166666667,1.214285714,1.068965517,0.854901961,1.045928704
Games,0,1,2,3,11,2.350515464,1,1,2,3,10,2.402298851,NA,1,1,1,0.909090909,1.022030651
GamestonkTerminal,0,1,2,3,144,3.530674847,1,2,3,7,36,6.52173913,NA,2,1.5,2.333333333,0.25,1.847165036
gensim,0,0,0,0,378,5.021961933,0,0,0,4,378,7.03271028,NA,NA,NA,NA,1,1.400390998
geopy,0,11,20,41.25,112,28.11904762,0,16.5,24,38,109,30.94736842,NA,1.5,1.2,0.921212121,0.973214286,1.100583805
ggpy,0,1,2,6,59,4.432692308,0,1,2,4.5,59,4.722222222,NA,1,1,0.75,1,1.065316944
gitsome,1,1,1,1,144,3.125,1,1,1,1,144,4.025,1,1,1,1,1,1.288
gixy,1,2,3,4.5,12,3.659574468,1,3,4,5,9,4.230769231,1,1.5,1.333333333,1.111111111,0.75,1.15608229
glance,2,8,18,43.5,252,34.18,0,7,14,30.5,252,28.59322034,0,0.875,0.777777778,0.701149425,1,0.836548284
glances,1,7,18,45,285,36.23809524,0,7,14,36.25,285,33.95714286,0,1,0.777777778,0.805555556,1,0.937056505
gluon-cv,0,1,2,5,97,4.655737705,0,1,3,6,34,4.759887006,NA,1,1.5,1.2,0.350515464,1.022370096
gmvault,1,5,15,42,284,34.97142857,1,5,18,55,284,42.59259259,1,1,1.2,1.30952381,1,1.217925442
Gooey,1,1,3,5,71,5.682242991,1,1,3,5.5,23,4.555555556,1,1,1,1.1,0.323943662,0.801717836
google-api-python-client,1,4,6,9.25,118,11.86842105,2,5.75,10,19.25,118,23.125,2,1.4375,1.666666667,2.081081081,1,1.948447894
gpodder,0,7.5,23,40,272,45.57446809,0,12,22.5,38.25,272,44.35294118,NA,1.6,0.97826087,0.95625,1,0.973197122
gradio,2,6.5,19,28.75,508,63.46153846,2,8,16,23.5,508,38.43636364,1,1.230769231,0.842105263,0.817391304,1,0.605663912
graphene,0,5,8,21,128,15.61682243,1,5,13,24,72,17.69811321,NA,1,1.625,1.142857143,0.5625,1.13327236
graphene-django,0,2,5,12.5,56,10.12121212,0,3.5,12,23,56,17.1025641,NA,1.75,2.4,1.84,1,1.689774298
great_expectations,0,2,5,11,607,14.68619247,0,3,7,18,607,20.76363636,NA,1.5,1.4,1.636363636,1,1.413820254
guake,3,8.75,13,40,178,28.67857143,3,9.75,17,44.5,178,33.7,1,1.114285714,1.307692308,1.1125,1,1.1750934
gunicorn,0,1,7,26,282,26.65384615,0,4.5,19,46.5,282,39.05128205,NA,4.5,2.714285714,1.788461538,1,1.465127465
gym,0,0,6,11,100,10.17763158,0,0,6,14.25,96,10.6125,NA,NA,1,1.295454545,0.96,1.04272786
h4cker,0,0,0.5,1.25,2,0.75,0,0,0,0,0,0,NA,NA,0,0,0,0
haipproxy,0,0,1,2,8,1.659574468,0,1,1,1.25,7,1.75,NA,NA,1,0.625,0.875,1.054487179
HanLP,0,1,1,2,119,2.447447447,0,1,1,2,14,2.45112782,NA,1,1,1,0.117647059,1.001503759
haxor-news,0,2,5,7.25,72,9.35,0,4.5,7,11,72,11.65,NA,2.25,1.4,1.517241379,1,1.245989305
healthchecks,0,3,6,15,365,16.81094527,0,3,7,17,365,18.08024691,NA,1,1.166666667,1.133333333,1,1.075504478
home-assistant,0,1,4,11,676,9.910530822,0,1,4,12,405,10.6246282,NA,1,1,1.090909091,0.599112426,1.072054402
horizon,0,2,6,15,198,13.02425107,0,3,9,25,198,19.38738739,NA,1.5,1.5,1.666666667,1,1.488560631
horovod,0,1,2,6,141,6.054794521,0,1,3,7,53,5.727941176,NA,1,1.5,1.166666667,0.375886525,0.946017434
httpie,1,4,14,28,104,20.68493151,0,9,19,32.5,92,25.34883721,0,2.25,1.357142857,1.160714286,0.884615385,1.225473587
httpx,1,8,15,36,104,25.21212121,1,15,27,40.75,104,31.73333333,1,1.875,1.8,1.131944444,1,1.258653846
huey,1,3,7,24,150,18.90243902,1,4.75,14,25.5,150,23,1,1.583333333,2,1.0625,1,1.216774194
hug,1,3,8,38.5,185,27.28571429,1,5.75,10.5,39.5,185,31.2,1,1.916666667,1.3125,1.025974026,1,1.143455497
hy,1,19.25,36,65.75,540,62.1,11,31,81,110,540,130.5714286,11,1.61038961,2.25,1.673003802,1,2.102599494
hydra,0,2,6,15,109,12.87700535,0,3,8,19,109,17.4952381,NA,1.5,1.333333333,1.266666667,1,1.358641829
hyperopt,2,7.75,15,27.5,196,27.3125,2,15,25,41,196,38.65517241,1,1.935483871,1.666666667,1.490909091,1,1.415292354
hypothesis,0,8,12,19,636,20.11680912,1,9,16,30,203,28.36434109,NA,1.125,1.333333333,1.578947368,0.31918239,1.409982116
igbot,3,10,17,35,348,37.28301887,3,7,11,17.5,348,24.98947368,1,0.7,0.647058824,0.5,1,0.670264223
ignite,0,5,10,17.25,76,13.16393443,0,5,11,22,76,15.27678571,NA,1,1.1,1.275362319,1,1.160503024
imagededup,1,5,9,22.75,48,15.3,7,9.5,35,43,48,27.85714286,7,1.9,3.888888889,1.89010989,1,1.820728291
imbalanced-learn,0,4,7,14,52,10.06956522,0,5.5,12.5,17,41,13.46428571,NA,1.375,1.785714286,1.214285714,0.788461538,1.33712682
imgaug,0,3,16.5,43,290,35.62264151,0,2,6,31,290,29.06299213,NA,0.666666667,0.363636364,0.720930233,1,0.8158573
impacket,1,6,10,25.5,228,20.55465587,1,6,11,27,228,22.53061224,1,1,1.1,1.058823529,1,1.096131815
imutils,1,1,2,4,23,3.827586207,1,1,2,4,7,2.777777778,1,1,1,1,0.304347826,0.725725726
infrastructure-puppet,0,1,2,5,45,4.975,1,1,1,5,47,6.078947368,NA,1,0.5,1,1.044444444,1.221898969
insightface,0,1,1,1,23,1.196280992,0,1,1,1,16,1.290076336,NA,1,1,1,0.695652174,1.07840578
InstaPy,1,8.5,21,59,546,67.34285714,3,30,53,190.5,546,126.2,3,3.529411765,2.523809524,3.228813559,1,1.873992363
inter,0,1,3,5,7,3.055555556,0,0,1,2,7,1.727272727,NA,0,0.333333333,0.4,1,0.565289256
invoke,0,1,4,38,291,32.75238095,1,1,15.5,67.5,291,52.73913043,NA,1,3.875,1.776315789,1,1.610238062
ipython,0,5,14,32,638,32.33210332,0,10,24,63.25,638,47.65441176,NA,2,1.714285714,1.9765625,1,1.473903856
isort,0,1.75,6,19.75,378,23.86904762,0,5.5,12,29,378,59.05263158,NA,3.142857143,2,1.46835443,1,2.474025463
jax,0,4,11,32,556,34.98596491,0,5.25,14,44.75,414,45.80232558,NA,1.3125,1.272727273,1.3984375,0.744604317,1.309162851
jieba,2,3.5,8,12.5,140,15.41935484,2,2.5,4,41.5,140,33.42857143,1,0.714285714,0.5,3.32,1,2.167961745
jsonschema,2,7.5,30.5,83.25,194,49.20833333,6,25,46,95.5,194,68.4,3,3.333333333,1.508196721,1.147147147,1,1.390008467
jumpgate,0,1.25,3,5.75,39,4.888888889,0,3,6,7,39,7.487179487,NA,2.4,2,1.217391304,1,1.531468531
jumpserver,0,2,4,10,171,9.494176373,0,3,7,16,171,14.59919028,NA,1.5,1.75,1.6,1,1.537699502
kafka-python,0,2,5,17,240,17.35338346,1,3,7,30.5,240,24.75675676,NA,1.5,1.4,1.794117647,1,1.426624198
KaraKara,0,4,9,23.25,140,18.3625,0,5.5,13,32.5,140,24.79487179,NA,1.375,1.444444444,1.397849462,1,1.350299349
keras,0,7,16,36,360,34.6416185,1,10,18,41.5,360,45.4787234,NA,1.428571429,1.125,1.152777778,1,1.312834832
keras-retinanet,0,5.5,13.5,25.75,120,21.52,1,22.5,29,47.25,120,37,NA,4.090909091,2.148148148,1.834951456,1,1.719330855
keras-rl,0,3,5,8,60,9.170731707,0,3,6.5,19,60,13.04166667,NA,1,1.3,2.375,1,1.422096631
kibble,4,5,7,7,8,6.2,1,2,4,6,21,5.153846154,0.25,0.4,0.571428571,0.857142857,2.625,0.831265509
kinto,1,9,18,32,156,24.72611465,1,12,23,35,156,28.15702479,1,1.333333333,1.277777778,1.09375,1,1.138756541
kitty,1,4,10.5,37.75,516,34.18823529,1,5,15,46.5,516,41.38211382,1,1.25,1.428571429,1.231788079,1,1.210419709
kivy,0,4,9,22.25,383,22.66203704,1,7,13,37,383,32.44769874,NA,1.75,1.444444444,1.662921348,1,1.431808566
knowledge-repo,0,2,4,9,65,7.449438202,0,3,6,13,37,9.204081633,NA,1.5,1.5,1.444444444,0.569230769,1.23554037
koalas,0,4,11,24,494,36.49462366,0,6,12,37,494,42.91304348,NA,1.5,1.090909091,1.541666667,1,1.175873024
kornia,0,4,10,15.75,100,12.32330827,0,4,11,18,100,13.42857143,NA,1,1.1,1.142857143,1,1.089688835
kube-hunter,1,2,4,7,17,5.196721311,1,4,6,9.5,17,7.052631579,1,2,1.5,1.357142857,1,1.357130998
label-studio,1,2,4,8,58,7.724637681,1,3,6,14,57,9.98630137,1,1.5,1.5,1.75,0.982758621,1.292785731
labelme,1,3,5.5,13.25,253,17.23529412,1,4,7,20,253,24.1,1,1.333333333,1.272727273,1.509433962,1,1.398293515
Lasagne,2,10,18,33,100,22.39622642,2,15.5,19,36.5,100,27,1,1.55,1.055555556,1.106060606,1,1.205560236
LaZagne,1,2,4,11,49,7.378947368,1,5,9,14.5,38,11.31746032,1,2.5,2.25,1.318181818,0.775510204,1.533749972
lbry-sdk,0,1,3,10,278,11.38492063,0,1,5,15,197,13.16184971,NA,1,1.666666667,1.5,0.708633094,1.156077423
lektor,1,5,8.5,15,62,12.81081081,2,6,10,15,62,14.49122807,2,1.2,1.176470588,1,1,1.131171811
libcloud,0,1,3,10,316,12.02380952,1,2.25,7,15.75,316,17.4516129,NA,2.25,2.333333333,1.575,1,1.451421271
librosa,1,6,32,75,243,54.77192982,0,0,0,0,0,0,0,0,0,0,0,0
linkchecker,0,0,4,17,446,17.03448276,0,0,6,22,446,22.86206897,NA,NA,1.5,1.294117647,1,1.342105263
