project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
12306,0,0,0,0,2,0.239130435,0,0,0,0.75,2,0.294117647,NA,NA,NA,NA,1,1.229946524
Agriculture_KnowledgeGraph,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
aiohttp,2,14,34.5,54.5,216,44.34090909,1,10,27,53,216,40.58333333,0.5,0.714285714,0.782608696,0.972477064,1,0.915257133
airavata-django-portal,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
airflow,0,2,4,7,172,6.777221527,0,2,6,10,172,9.168161435,NA,1,1.5,1.428571429,1,1.352790579
akshare,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
albumentations,0,6,16,26.5,127,23.35897436,7,13.5,23.5,42.75,127,36,NA,2.25,1.46875,1.613207547,1,1.541163557
algo,0,0,0,0,0,0,1,1.75,2.5,3.25,4,2.5,NA,NA,NA,NA,NA,NA
algorithms,0,0,1,2,22,1.529411765,0,0.25,1,2,8,1.633333333,NA,NA,1,1,0.363636364,1.067948718
allennlp,0,2,8,53,271,23.80969479,0,3.25,15.5,55,271,34.41549296,NA,1.625,1.9375,1.037735849,1,1.445440324
allura,0,3,9,29,466,28.83291771,0,5,13,47,466,39.25373134,NA,1.666666667,1.444444444,1.620689655,1,1.361420712
AlphaPose,0,0,0,1,3,0.414814815,0,0,0,1,3,0.528301887,NA,NA,NA,1,1,1.273584906
altair,0,0,0,0,3,0.227272727,0,0,0,0,2,0.189189189,NA,NA,NA,NA,0.666666667,0.832432432
androguard,0,0,0,2,25,1.730769231,0,0,0,2,25,1.98245614,NA,NA,NA,1,1,1.145419103
angr,0,1,1,4,133,3.668696711,0,1,1,4,133,4.109219858,NA,1,1,1,1,1.120076196
anki,0,0,0,0,10,0.504065041,0,0,0,1,10,0.900826446,NA,NA,NA,NA,1,1.787123434
ansible,0,2,5,9,209,8.001777778,0,2,5,11,209,10.39660591,NA,1,1,1.222222222,1,1.299287008
apex,0,1,1,2,15,1.785340314,0,1,1,2,15,2.244186047,NA,1,1,1,1,1.257007434
apistar,1,2,2.5,10,35,6.75,1,2,5,10,16,6.769230769,1,1,2,1,0.457142857,1.002849003
apprise,0,2,7,11,106,8.791304348,0,2,6,10,106,7.674796748,NA,1,0.857142857,0.909090909,1,0.872998641
apscheduler,0,0,0,0,5,0.163265306,0,0,0,0,2,0.166666667,NA,NA,NA,NA,0.4,1.020833333
ArchiveBox,0,0,0,0,2,0.022727273,0,0,0,0,2,0.043478261,NA,NA,NA,NA,1,1.913043478
asm-dude,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
astroquery,0,0,0,0,8,0.426160338,0,0,0,1,8,0.675925926,NA,NA,NA,NA,1,1.586083608
asyncpg,1,3,5,9.5,70,12.47826087,0,2,5,10.25,70,10.57142857,0,0.666666667,1,1.078947368,1,0.847187656
attrs,0,1.25,9,21,195,18.89473684,0,4.25,15.5,28.25,195,29.33333333,NA,3.4,1.722222222,1.345238095,1,1.552460539
dagster,0,0,1,2,59,1.502392344,0,0,1,3,39,2.140024783,NA,NA,1,1.5,0.661016949,1.4244114
DAIN,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
darkflow,0,0,0,0,1,0.03125,0,0,0,0,1,0.043478261,NA,NA,NA,NA,1,1.391304348
dash,0,0,0,2,33,1.416666667,0,0,0,1,33,1.179856115,NA,NA,NA,0.5,1,0.832839611
dask,1,7.5,19,39.5,503,36.23766816,1,10,25,49.25,503,43.82738095,1,1.333333333,1.315789474,1.246835443,1,1.209442637
datasets,0,1,4,7.75,122,6.816546763,0,2,5,11,122,10.94495413,NA,2,1.25,1.419354839,1,1.605644986
datasette,0,5,16,41,347,40.78688525,0,5.75,23.5,80,347,54.52777778,NA,1.15,1.46875,1.951219512,1,1.336894873
deap,0,0,0,0,2,0.244444444,0,0,0,0,1,0.126984127,NA,NA,NA,NA,0.5,0.519480519
DeDRM_tools,0,0,0,0,2,0.107142857,0,0,0,0,2,0.0625,NA,NA,NA,NA,1,0.583333333
deep-learning-for-image-processing,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
DeepCTR,0,2,3,6,10,3.756756757,5,6,7,8,9,7,NA,3,2.333333333,1.333333333,0.9,1.863309353
DeepFaceLab,0,0,0,0,5,0.180451128,0,0,0,0,5,0.355555556,NA,NA,NA,NA,1,1.97037037
DeepPavlov,0,2,3,10.5,219,12.63987138,0,2,3.5,8,219,14.02586207,NA,1,1.166666667,0.761904762,1,1.109652278
DeepSpeed,0,1,3,7,120,7.395833333,0,2,4,11.5,120,10.71084337,NA,2,1.333333333,1.642857143,1,1.44822671
deis,0,0,0,2,16,1.622641509,0,0,0,3,16,2.24,NA,NA,NA,1.5,1,1.380465116
deluge,0,0,1,2,62,2.518218623,0,0,1,2,62,3.205882353,NA,NA,1,1,1,1.273075468
deoplete.nvim,0,0,0,4,67,5.046511628,0,5.5,9.5,15,67,16,NA,NA,NA,3.75,1,3.170506912
Detectron,0,0,0,0,5,0.243902439,0,0,0,0,3,0.388888889,NA,NA,NA,NA,0.6,1.594444444
detectron2,0,0,0,0,11,0.459330144,0,0,0,1,11,0.697802198,NA,NA,NA,NA,1,1.519173535
diagrams,0,1,2,3,51,2.375609756,6,7.75,9.5,11.25,13,9.5,NA,7.75,4.75,3.75,0.254901961,3.998973306
dirsearch,0,0,1,2,4,1.176724138,0,0,0,2,4,0.709677419,NA,NA,0,1,1,0.603095829
discord.py,0,0,1,5,37,3.902912621,0,1,3,7,37,5.232876712,NA,NA,3,1.4,1,1.340761944
django-allauth,0,0,0,1,53,2.254697286,0,0,1,3,53,3.731092437,NA,NA,NA,3,1,1.65480859
django-cms,0,2,4,10,205,10.24535316,0,4,7,19,124,14.98550725,NA,2,1.75,1.9,0.604878049,1.462663806
django-crispy-forms,1,8,15,21,43,17.66666667,5,15,21,37,43,23.55555556,5,1.875,1.4,1.761904762,1,1.333333333
django-extensions,0,0,1,4,25,3.082706767,0,0,1,5.5,25,4.255813953,NA,NA,1,1.375,1,1.380544526
django-haystack,0,0,1,4,30,3.105263158,0,0,1,5,30,4.081081081,NA,NA,1,1.25,1,1.31424645
