project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
12306,0,0,0,0,75,4.913043478,0,0,0,1.5,75,4.529411765,NA,NA,NA,NA,1,0.921915669
Agriculture_KnowledgeGraph,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
aiohttp,2,299.5,699,1706,7474,1252.920455,3,203.75,653,1630,7474,1199.416667,1.5,0.680300501,0.934191702,0.955451348,1,0.95729674
airavata-django-portal,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
airflow,0,64,115,214,6818,220.4292866,0,82,148,298.25,6818,303.7713004,NA,1.28125,1.286956522,1.393691589,1,1.378089568
akshare,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
albumentations,0,193.5,582,1662,12672,1809.769231,48,536.75,999.5,3926,12672,2746.888889,NA,2.773901809,1.717353952,2.3622142,1,1.517811687
algo,0,0,0,0,0,0,288,309,330,351,372,330,NA,NA,NA,NA,NA,NA
algorithms,0,0,19,46,959,44.13003096,0,0.75,52.5,136.5,534,84.93333333,NA,NA,2.763157895,2.967391304,0.556830031,1.924615313
allennlp,0,53,179,662,33549,1337.019749,0,144.5,349,1432.25,33549,2681.971831,NA,2.726415094,1.94972067,2.163519637,1,2.005932847
allura,0,41,144,461,6772,464.2842893,0,101.5,273.5,752.25,6772,635.7835821,NA,2.475609756,1.899305556,1.631778742,1,1.369384226
AlphaPose,0,0,0,29.5,817,55,0,0,0,31,750,49.73584906,NA,NA,NA,1.050847458,0.917992656,0.904288165
altair,0,0,0,0,202,3.465909091,0,0,0,0,13,1.054054054,NA,NA,NA,NA,0.064356436,0.304120514
androguard,0,0,0,38,2096,88.53846154,0,0,0,70,2096,116.245614,NA,NA,NA,1.842105263,1,1.312939168
angr,0,2,47,162,6958,286.2911084,0,2,21,101,6958,143.8368794,NA,1,0.446808511,0.62345679,1,0.502414763
anki,0,0,0,0,322,8.796747967,0,0,0,8,322,16.49586777,NA,NA,NA,NA,1,1.875223415
ansible,0,87,207,435,40608,378.8533333,0,115,280,579.5,13543,487.84978,NA,1.32183908,1.352657005,1.332183908,0.333505713,1.287700905
apex,0,6,71,168,1524,128.8743455,0,29,116,221,1524,182.1046512,NA,4.833333333,1.633802817,1.31547619,1,1.413040356
apistar,6,118.75,349,748.25,1441,491.4166667,23,206,360,833,1441,559,3.833333333,1.734736842,1.031518625,1.113264283,1,1.137527556
apprise,0,223.5,442,666.5,9641,580.8086957,0,214.5,407,623,9641,548.2439024,NA,0.959731544,0.92081448,0.934733683,1,0.943931981
apscheduler,0,0,0,0,418,11.10204082,0,0,0,0,418,34.83333333,NA,NA,NA,NA,1,3.137561275
ArchiveBox,0,0,0,0,8,0.090909091,0,0,0,0,8,0.173913043,NA,NA,NA,NA,1,1.913043478
asm-dude,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
astroquery,0,0,0,0,4350,41.28270042,0,0,0,2.5,4350,72.63888889,NA,NA,NA,NA,1,1.759547901
asyncpg,2,52,168,294,3447,453.0869565,0,47.25,198.5,485.25,3447,460.2142857,0,0.908653846,1.181547619,1.650510204,1,1.015730599
attrs,0,71,293.5,588.25,8844,746.8157895,0,177.25,436.5,1146.75,8844,1305.222222,NA,2.496478873,1.487223169,1.949426264,1,1.747716426
dagster,0,0,4,41,2241,45.32535885,0,0,16,77,2241,69.85130112,NA,NA,4,1.87804878,1,1.541108617
DAIN,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
darkflow,0,0,0,0,33,1.03125,0,0,0,0,33,1.434782609,NA,NA,NA,NA,1,1.391304348
dash,0,0,0,63,1123,66.08333333,0,0,0,48,1123,55.37410072,NA,NA,NA,0.761904762,1,0.837943517
dask,1,129.5,436,1108,16325,1071.789238,7,199.75,587.5,1515.75,16325,1321.72619,7,1.542471042,1.347477064,1.368005415,1,1.23319599
datasets,0,78.5,127.5,248,8794,296.0359712,0,111,211,516,8794,475.7889908,NA,1.414012739,1.654901961,2.080645161,1,1.607199925
datasette,0,102,305,794,8784,851.6721311,0,151.5,497,1253.25,8784,1241.805556,NA,1.485294118,1.629508197,1.578400504,1,1.45807936
deap,0,0,0,0,24,1.533333333,0,0,0,0,10,0.698412698,NA,NA,NA,NA,0.416666667,0.455486542
DeDRM_tools,0,0,0,0,28,1.214285714,0,0,0,0,28,0.875,NA,NA,NA,NA,1,0.720588235
deep-learning-for-image-processing,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
DeepCTR,0,13,41,93,445,64.2972973,205,221.5,238,254.5,271,238,NA,17.03846154,5.804878049,2.73655914,0.608988764,3.701555275
