project,exp-min,exp-1/4,exp-2/4,exp-3/4,exp-max,exp-avg,imp-min,imp-1/4,imp-2/4,imp-3/4,imp-max,imp-avg,i/e-min,i/e-1/4,i/e-2/4,i/e-3/4,i/e-max,i/e-avg
12306,0,0,0,0,2,0.239130435,0,0,0,0.75,2,0.294117647,NA,NA,NA,NA,1,1.229946524
Agriculture_KnowledgeGraph,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
aiohttp,1,10.75,30.5,48.5,186,37.84090909,1,8.75,23.5,44.25,186,34.64583333,1,0.813953488,0.770491803,0.912371134,1,0.915565566
airavata-django-portal,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
airflow,0,2,4,7,167,6.715894869,0,2,6,10,167,9.069506726,NA,1,1.5,1.428571429,1,1.350453946
akshare,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
albumentations,0,6,15,25.5,122,22.25641026,7,13.25,22.5,40.5,122,34.38888889,NA,2.208333333,1.5,1.588235294,1,1.545122888
algo,0,0,0,0,0,0,1,1.75,2.5,3.25,4,2.5,NA,NA,NA,NA,NA,NA
algorithms,0,0,1,2,21,1.46130031,0,0.25,1,2,8,1.633333333,NA,NA,1,1,0.380952381,1.117725989
allennlp,0,2,8,51,264,23.02333932,0,3.25,15.5,53,264,33.19014085,NA,1.625,1.9375,1.039215686,1,1.441586748
allura,0,2,6,51,285,19.54862843,0,3,9,31,285,26.26492537,NA,1.5,1.5,1.55,1,1.343568705
AlphaPose,0,0,0,1,3,0.414814815,0,0,0,1,3,0.528301887,NA,NA,NA,1,1,1.273584906
altair,0,0,0,0,3,0.227272727,0,0,0,0,2,0.189189189,NA,NA,NA,NA,0.666666667,0.832432432
androguard,0,0,0,2,25,1.730769231,0,0,0,2,25,1.98245614,NA,NA,NA,1,1,1.145419103
angr,0,1,1,4,127,3.622411693,0,1,1,4,127,4.055319149,NA,1,1,1,1,1.119508077
anki,0,0,0,0,10,0.487804878,0,0,0,1,10,0.867768595,NA,NA,NA,NA,1,1.77892562
ansible,0,2,4,9,190,7.702518519,0,2,5,11,190,9.972972973,NA,1,1.25,1.222222222,1,1.294767802
apex,0,1,1,2,15,1.77486911,0,1,1,2,15,2.23255814,NA,1,1,1,1,1.25787199
apistar,1,2,2.5,10,35,6.75,1,2,5,10,16,6.769230769,1,1,2,1,0.457142857,1.002849003
apprise,0,2,7,11,104,8.52173913,0,2,5,9,104,7.463414634,NA,1,0.714285714,0.818181818,1,0.87580886
apscheduler,0,0,0,0,5,0.163265306,0,0,0,0,2,0.166666667,NA,NA,NA,NA,0.4,1.020833333
ArchiveBox,0,0,0,0,1,0.011363636,0,0,0,0,1,0.02173913,NA,NA,NA,NA,1,1.913043478
asm-dude,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
astroquery,0,0,0,0,6,0.383966245,0,0,0,1,6,0.611111111,NA,NA,NA,NA,1,1.591575092
asyncpg,1,2,5,9,64,10.69565217,0,2,5,8.25,64,9.821428571,0,1,1,0.916666667,1,0.918263647
attrs,0,1,9,21,183,17.86842105,0,4.25,13,26.75,183,27.5,NA,4.25,1.444444444,1.273809524,1,1.539027982
dagster,0,0,1,2,59,1.473684211,0,0,1,3,37,2.089219331,NA,NA,1,1.5,0.627118644,1.417684546
DAIN,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
darkflow,0,0,0,0,1,0.03125,0,0,0,0,1,0.043478261,NA,NA,NA,NA,1,1.391304348
dash,0,0,0,2,33,1.403846154,0,0,0,1,33,1.172661871,NA,NA,NA,0.5,1,0.835320784
dask,1,7,19,36.5,467,35.07174888,1,10,24.5,45.25,467,42.38095238,1,1.428571429,1.289473684,1.239726027,1,1.208407158
datasets,0,1,4,7.75,122,6.784172662,0,2,5,11,122,10.86238532,NA,2,1.25,1.419354839,1,1.60113633
datasette,0,5,13,34,267,33.50819672,0,5.75,18.5,66,267,44.19444444,NA,1.15,1.423076923,1.941176471,1,1.318914438
deap,0,0,0,0,1,0.2,0,0,0,0,1,0.126984127,NA,NA,NA,NA,1,0.634920635
DeDRM_tools,0,0,0,0,2,0.107142857,0,0,0,0,2,0.0625,NA,NA,NA,NA,1,0.583333333
deep-learning-for-image-processing,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
DeepCTR,0,2,3,6,10,3.756756757,5,6,7,8,9,7,NA,3,2.333333333,1.333333333,0.9,1.863309353
DeepFaceLab,0,0,0,0,5,0.180451128,0,0,0,0,5,0.355555556,NA,NA,NA,NA,1,1.97037037
DeepPavlov,0,2,3,10,159,11.67202572,0,2,3.5,7.25,159,12.75862069,NA,1,1.166666667,0.725,1,1.093093949
DeepSpeed,0,1,3,7,118,7.354166667,0,2,4,11.5,118,10.61445783,NA,2,1.333333333,1.642857143,1,1.443325711
deis,0,0,0,2,16,1.452830189,0,0,0,2,16,1.92,NA,NA,NA,1,1,1.321558442
deluge,0,0,1,2,54,2.319838057,0,0,1,2,54,2.994117647,NA,NA,1,1,1,1.290658043
deoplete.nvim,0,0,0,4,62,4.76744186,0,5.5,9.5,15,62,15,NA,NA,NA,3.75,1,3.146341463
Detectron,0,0,0,0,5,0.243902439,0,0,0,0,3,0.388888889,NA,NA,NA,NA,0.6,1.594444444
detectron2,0,0,0,0,11,0.459330144,0,0,0,1,11,0.697802198,NA,NA,NA,NA,1,1.519173535
diagrams,0,1,2,2,41,1.853658537,6,6.75,7.5,8.25,9,7.5,NA,6.75,3.75,4.125,0.219512195,4.046052632
dirsearch,0,0,1,2,4,1.176724138,0,0,0,2,4,0.709677419,NA,NA,0,1,1,0.603095829
discord.py,0,0,1,5,35,3.854368932,0,1,3,6,35,5.164383562,NA,NA,3,1.2,1,1.339877851
django-allauth,0,0,0,1,52,2.144050104,0,0,1,3,52,3.542016807,NA,NA,NA,3,1,1.652021471
django-cms,0,2,4,10,122,9.420074349,0,4,7,18,122,14.3115942,NA,2,1.75,1.8,1,1.519265525
django-crispy-forms,1,7,15,21,43,17.28571429,5,15,21,36,43,23.33333333,5,2.142857143,1.4,1.714285714,1,1.349862259
django-extensions,0,0,1,4,24,2.864661654,0,0,1,5.5,24,3.953488372,NA,NA,1,1.375,1,1.380089117
django-haystack,0,0,1,4,29,3.01754386,0,0,1,4.75,29,3.945945946,NA,NA,1,1.1875,1,1.307668133
