project,UIF_file_e,UIF_file_p,UIF_file_ep,UHI_file_e,UHI_file_p,UHI_file_ep,CLQ_file_e,CLQ_file_p,CLQ_file_ep,CRS_file_e,CRS_file_p,CRS_file_ep,PKG_file_e,PKG_file_p,PKG_file_ep,MVG_file_e,MVG_file_p,MVG_file_ep
12306,0.03007181328545781,0.028359598377551698,0.02777484422853521,0,0,0,0.028426092160383002,0.030874272346444697,0.028700379014562138,0.028690788565115317,0.02949977118315908,0.029662876521045274,0.02885541071475035,0.02562088569718731,0.025775839958963837,0.038400159585078794,0.031744736412599964,0.03249052463594653
Agriculture_KnowledgeGraph,0,0,0,0,0,0,0.010838310108383101,0.010838310108383101,0.010838310108383101,0,0,0,0.007870677578706776,0.017646046843127136,0.017646046843127136,0.004694143380274767,0,0
aiohttp,0.009757867492319976,0.010073369822166422,0.013332905642677077,0.013743706524481054,0.013056801964151805,0.01475532764084081,0.010301315078654763,0.010662371579020242,0.011635906243196825,0.010068394571974556,0.010458860376755356,0.013332905642677077,0.010313022165662404,0.011365956314554561,0.013621190497656959,0.010147162070595631,0.010599763413490448,0.013332905642677077
airavata-django-portal,0,0,0,0.00637138338661782,0.008766340891766125,0.008766340891766125,0,0,0,0,0,0,0,0,0,0.0014303755702957004,0.004327989714766819,0.005245013823626455
airflow,0.0013132162904369675,0.0018071683058709207,0.00269819848934316,0.002241547507500121,0.002941608380387905,0.003932492559866391,0.002296788080717601,0.0029571919301611773,0.004092957295720296,0.001980328642526172,0.002703021817415703,0.003867055660431326,0.0015372681122915012,0.0018682706441527812,0.002751552974142418,0.0017791502635762112,0.002222303297386067,0.0031641496481894633
akshare,0.0036587061218410198,0,0.0014398490640981083,0,0,0,0,0,0,0,0,0,0.00030617480098637937,0,0,0.008387120798371481,0,0
albumentations,0.028238848409454422,0.04018888522176243,0.04101568119695007,0.05640914976262408,0.05640914976262408,0.06071068910948065,0.05520069054812257,0.06242555028053517,0.0551575312904618,0.030890257778475313,0.04190763918860597,0.04101568119695007,0.03339447561501943,0.0472545916654678,0.04101568119695007,0.03747086750107899,0.054622356495468295,0.04740612861458783
algo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839984502130957,0,0.015187911662146454
allennlp,0.002145769464013059,0.0032871676498247406,0.003364668012236508,0.0021148953607320474,0.0023709783135276857,0.002714371206292212,0.004029707093354513,0.005765960882657472,0.004717448918526118,0.0026440011729871,0.0031158854089003147,0.003483188607579477,0.002220671436988084,0.0034064427879219113,0.0032176658149129732,0.002334330444766627,0.0032113497387994223,0.0030817536742132785
allura,0.0027225664750314973,0.0038485582076972806,0.004430881771786814,0.005314782285441704,0.006144520019010059,0.006394069359479979,0.004266218148715974,0.005171906293394128,0.005992444617696085,0.003183945533190485,0.004003416051530119,0.004528560978601503,0.0034161297715755413,0.004134878632499115,0.004828464548600022,0.003773528541793587,0.005086490089137611,0.005367017895606567
AlphaPose,0,0,0,0.010233606071386219,0.012747539428435907,0.011265267401873592,0.009975690738764377,0.012747539428435907,0,0,0,0,0.009549537531127713,0.010921380291711132,0.009581406379698804,0.02190798055259101,0,0
altair,0.014613009888267282,0.013758951937692946,0.02412674533402285,0.02093965527748613,0.011923510883362323,0.02173146537539373,0,0,0,0.01777922138977097,0.010632629714948364,0.039937003431902596,0.007783904309690592,0.013292745992195947,0.04682431479479103,0.01690251202732985,0.024762083856625722,0.02412674533402285
androguard,0.014613592213465388,0.01825459733671528,0.01946932466708941,0.025802902010518852,0.02567468014472751,0.02497710138800817,0.019942303841404396,0.019461449035006424,0.022885553101698992,0.015581609559836439,0.01859291231913299,0.01946932466708941,0.019951623130893693,0.022060464078536363,0.02231293595434369,0.017292255144981835,0.0187627240262991,0.019450091387220706
angr,0.0008104173030233502,0.0006938209682053274,0.0012442399950455094,0.001193717409270345,0.0013001427129705082,0.00160774602510873,0.0011052490779641087,0.001175100556262493,0.0013872025849867428,0.0008886876537659592,0.0007809663440179075,0.001249405601320237,0.000876236545332813,0.000961580143681304,0.001242871656834228,0.0012388222455895972,0.001075597340843594,0.0018407395497629859
anki,0.0063181676472308995,0.007611202039310899,0.008734597105293663,0.010616922656899466,0.010616922656899466,0.012392277137406574,0.006984299484966684,0.007944547593471034,0.008679906888473742,0.006468031568111632,0.0076005248643359145,0.008788640107488291,0.004899674030100324,0.007870493926005001,0.008606343069035174,0.008115342176275136,0.008664427132534956,0.00980508010609704
ansible,0.0003523982244238256,0.0004544832000373523,0.00041388664621346704,0.0002585466635200207,0.00037605383633952904,0.0004034662791323536,0.0003936290919494515,0.0004364817992807584,0.0004344932829660021,0.0003346633254569203,0.0003969833567393592,0.00042894442599526554,0.0003927387579007595,0.00045770305809134267,0.00044434469801411965,0.0003366708926564473,0.000437125079712782,0.00044384231344331824
apex,0,0,0,0.004445765903524048,0.004846923124118044,0,0.004605554577945522,0.004357983264664656,0.0051182941851081005,0.004889988531622988,0.005063076073567515,0.005496325871809029,0.005024690833636169,0.005726692834887852,0.00818714692265217,0.009544844994872603,0.01110025626867151,0.011332455506944738
apistar,0,0,0,0,0,0,0.0466403162055336,0.0466403162055336,0.0466403162055336,0,0,0,0.05460191981931112,0.03428853754940711,0.050750988142292494,0.0422266139657444,0.042819499341238465,0.07233201581027668
apprise,0.008322183668068342,0.008297973628640848,0.008245707198690928,0.01058752609756815,0.010759222774396122,0.0065251271796982965,0.009145175993177875,0.009145175993177875,0.009145175993177875,0.008931167766113515,0.00951956089384754,0.008557061781397948,0.0069499623142603795,0.0071963475306904634,0.00775832061935265,0.00867001705064457,0.008543409130053057,0.008550760557700305
apscheduler,0.02316466245981665,0.04223201174743025,0.030500600720865037,0.025863035642771325,0.08405286343612335,0.037744493392070484,0.016412838263058525,0.021321585903083702,0.023201174743024962,0,0,0,0.027210758172965453,0.08405286343612335,0.02881057268722467,0.03449968533668974,0.08405286343612335,0.04422907488986784
