project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,3.6153846153846154,3.8181818181818183,3.5,0.38461538461538464,0.45454545454545453,0.4166666666666667,26.076923076923077,28.90909090909091,27.0,739.5384615384615,832.0,785.5,0.38461538461538464,0.45454545454545453,0.4166666666666667,8.153846153846153,9.636363636363637,8.833333333333334
Agriculture_KnowledgeGraph,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0
aiohttp,24.533333333333335,24.724137931034484,27.28,54.4,55.44827586206897,60.88,101.13333333333334,104.3103448275862,112.96,2397.6,2509.0,2724.88,64.06666666666666,65.3103448275862,71.68,1304.5333333333333,1349.2413793103449,1481.8
airavata-django-portal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
airflow,12.585365853658537,15.655737704918034,19.37837837837838,14.670731707317072,18.508196721311474,24.324324324324323,28.73170731707317,37.26229508196721,51.432432432432435,799.3780487804878,1040.8032786885246,1481.4054054054054,14.951219512195122,18.852459016393443,24.72972972972973,462.4146341463415,593.2131147540983,828.5135135135135
akshare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albumentations,22.0,24.4,20.25,56.333333333333336,62.6,51.75,79.83333333333333,88.4,67.25,2652.6666666666665,3026.8,2628.75,58.333333333333336,64.8,54.0,3995.3333333333335,4555.2,4257.5
algo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
allennlp,9.903225806451612,10.0,10.35,52.87096774193548,58.0,54.95,29.35483870967742,29.333333333333332,31.7,914.9032258064516,1223.6666666666667,1022.9,54.806451612903224,59.666666666666664,56.45,3929.548387096774,9676.444444444445,5188.95
allura,11.373493975903614,12.632352941176471,13.596153846153847,44.13253012048193,52.294117647058826,60.51923076923077,74.73493975903614,88.20588235294117,103.67307692307692,1089.7349397590363,1300.5735294117646,1538.8846153846155,67.08433734939759,79.36764705882354,93.3076923076923,919.5542168674699,1097.0294117647059,1299.0
AlphaPose,1.75,1.6666666666666667,NA,0.0,0.0,NA,2.25,2.3333333333333335,NA,298.25,384.0,NA,0.0,0.0,NA,0.0,0.0,NA
altair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
androguard,6.657894736842105,6.512820512820513,7.206896551724138,2.1842105263157894,2.128205128205128,2.7586206896551726,41.23684210526316,40.0,47.310344827586206,2936.3947368421054,2856.5384615384614,3514.103448275862,2.1842105263157894,2.128205128205128,2.7586206896551726,133.97368421052633,130.53846153846155,158.31034482758622
angr,5.1875,5.26530612244898,5.865671641791045,9.033653846153847,9.224489795918368,11.507462686567164,23.504807692307693,24.056122448979593,28.611940298507463,662.6394230769231,703.6428571428571,837.7313432835821,9.192307692307692,9.38265306122449,11.694029850746269,302.78846153846155,318.9591836734694,403.8134328358209
anki,3.936936936936937,4.344086021505376,4.825,0.8828828828828829,0.967741935483871,1.1375,36.24324324324324,40.806451612903224,46.65,563.2882882882883,642.4731182795699,723.4125,0.918918918918919,1.010752688172043,1.1875,17.72972972972973,20.182795698924732,23.5875
ansible,11.624161073825503,11.790697674418604,14.253521126760564,24.677852348993287,26.170542635658915,36.76056338028169,39.1744966442953,40.457364341085274,58.859154929577464,863.1879194630873,932.0542635658915,1166.1830985915492,25.87248322147651,27.434108527131784,38.59154929577465,637.9597315436241,679.3953488372093,799.5915492957746
apex,4.142857142857143,4.8,5.0,4.0,5.2,2.5,14.571428571428571,17.2,25.5,272.85714285714283,296.6,413.5,4.0,5.2,2.5,95.28571428571429,117.4,105.0
apistar,1.3333333333333333,1.3333333333333333,1.3333333333333333,7.0,7.0,7.0,3.0,3.0,3.0,247.33333333333334,247.33333333333334,247.33333333333334,7.0,7.0,7.0,679.3333333333334,679.3333333333334,679.3333333333334
apprise,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,540.0,540.0,540.0,1.0,1.0,1.0,539.0,539.0,539.0
apscheduler,1.0,1.0,1.0,0.0,0.0,0.0,6.285714285714286,1.0,4.333333333333333,176.85714285714286,7.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
ArchiveBox,3.5238095238095237,4.125,4.318181818181818,0.023809523809523808,0.0,0.045454545454545456,21.714285714285715,33.375,23.681818181818183,334.95238095238096,383.375,295.22727272727275,0.047619047619047616,0.0,0.09090909090909091,0.19047619047619047,0.0,0.36363636363636365
asm-dude,0.5555555555555556,1.0,1.0,0.0,0.0,0.0,1.5555555555555556,9.0,8.0,2858.0,168.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0
astroquery,2.0,2.0,NA,0.5,0.5,NA,19.5,19.5,NA,1192.0,1192.0,NA,0.5,0.5,NA,2.0,2.0,NA
asyncpg,6.166666666666667,6.166666666666667,10.333333333333334,18.0,18.0,32.666666666666664,41.833333333333336,41.833333333333336,70.0,1351.6666666666667,1351.6666666666667,2454.6666666666665,19.666666666666668,19.666666666666668,35.333333333333336,846.3333333333334,846.3333333333334,1603.6666666666667
attrs,18.666666666666668,18.666666666666668,27.5,66.66666666666667,66.66666666666667,99.5,73.33333333333333,73.33333333333333,109.5,2604.6666666666665,2604.6666666666665,3868.5,71.66666666666667,71.66666666666667,107.0,3197.6666666666665,3197.6666666666665,4758.0
dagster,6.545150501672241,7.2785388127853885,7.622950819672131,2.551839464882943,3.0639269406392695,3.273224043715847,27.759197324414714,32.68493150684932,35.78688524590164,741.1070234113712,886.3972602739726,989.2732240437158,2.5986622073578594,3.1232876712328768,3.3442622950819674,59.408026755852845,73.17351598173516,72.92349726775956
DAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
darkflow,1.0952380952380953,1.2105263157894737,1.0,0.047619047619047616,0.05263157894736842,0.0,2.9047619047619047,3.210526315789474,3.875,23.047619047619047,25.473684210526315,23.5,0.047619047619047616,0.05263157894736842,0.0,1.5714285714285714,1.736842105263158,0.0
dash,10.5,11.88888888888889,13.25,5.666666666666667,6.777777777777778,7.5,60.916666666666664,75.88888888888889,85.0,1643.8333333333333,1861.4444444444443,2327.375,5.666666666666667,6.777777777777778,7.5,228.33333333333334,278.8888888888889,318.25
dask,19.4375,23.18867924528302,24.0188679245283,55.55,71.28301886792453,73.50943396226415,75.775,99.50943396226415,100.81132075471699,2318.6125,3038.0188679245284,3076.4716981132074,57.3125,73.54716981132076,75.86792452830188,1806.9875,2348.8490566037735,2400.754716981132
datasets,4.368421052631579,4.645161290322581,6.625,16.63157894736842,18.806451612903224,29.375,17.07894736842105,19.35483870967742,30.125,518.8157894736842,589.1935483870968,961.0625,16.736842105263158,18.93548387096774,29.625,511.07894736842104,579.7096774193549,944.5
datasette,3.7857142857142856,4.0,4.181818181818182,54.857142857142854,67.72727272727273,68.36363636363636,71.5,88.18181818181819,88.63636363636364,1563.5714285714287,1921.090909090909,1923.8181818181818,69.57142857142857,86.18181818181819,86.72727272727273,1565.0714285714287,1928.909090909091,1941.2727272727273
deap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeDRM_tools,0.0,1.0,NA,0.0,0.0,NA,0.0,1.5,NA,0.0,22.5,NA,0.0,0.0,NA,0.0,0.0,NA
deep-learning-for-image-processing,1.0,1.0,1.0,0.0,0.0,0.0,8.333333333333334,8.333333333333334,8.333333333333334,432.0,432.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0
DeepCTR,5.0,NA,5.0,8.0,NA,9.0,14.5,NA,10.0,763.5,NA,276.0,8.0,NA,9.0,271.0,NA,271.0
DeepFaceLab,2.0,NA,2.0,0.5,NA,0.5,14.5,NA,14.5,371.5,NA,371.5,0.5,NA,0.5,31.0,NA,31.0
DeepPavlov,3.3,2.5714285714285716,3.0,13.2,8.428571428571429,13.833333333333334,10.3,7.285714285714286,9.5,354.2,372.42857142857144,251.66666666666666,14.2,9.142857142857142,14.666666666666666,677.8,584.8571428571429,639.0
DeepSpeed,5.258064516129032,5.296296296296297,6.631578947368421,15.483870967741936,16.444444444444443,21.263157894736842,12.096774193548388,12.962962962962964,16.789473684210527,811.6774193548387,889.2962962962963,1102.0526315789473,15.580645161290322,16.555555555555557,21.42105263157895,2460.8064516129034,2716.740740740741,3625.842105263158
deis,11.0,11.0,11.0,9.0,9.0,9.0,82.0,82.0,82.0,2710.0,2710.0,2710.0,9.0,9.0,9.0,128.0,128.0,128.0
deluge,3.75,3.819277108433735,4.323076923076923,4.1521739130434785,4.506024096385542,5.476923076923077,40.05434782608695,42.87951807228916,51.66153846153846,972.0869565217391,1050.7951807228915,1277.1384615384616,4.456521739130435,4.831325301204819,5.846153846153846,153.1413043478261,160.79518072289156,203.55384615384617
deoplete.nvim,4.0,4.0,6.0,8.0,8.0,11.0,42.5,42.5,63.0,610.0,610.0,871.0,8.0,8.0,11.0,242.5,242.5,304.0
Detectron,1.2857142857142858,1.5,2.5,0.2857142857142857,0.5,1.0,1.7142857142857142,2.25,4.0,14.142857142857142,16.0,30.5,0.2857142857142857,0.5,1.0,6.0,10.5,21.0
