project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,3.3461538461538463,3.4705882352941178,3.6666666666666665,0.38461538461538464,0.47058823529411764,0.4,19.846153846153847,22.176470588235293,25.2,496.9230769230769,601.0588235294117,678.1333333333333,0.38461538461538464,0.47058823529411764,0.4,8.615384615384615,8.764705882352942,7.266666666666667
Agriculture_KnowledgeGraph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aiohttp,18.1125,18.21518987341772,24.217391304347824,39.45,39.50632911392405,53.78260869565217,81.825,78.9620253164557,103.8695652173913,2365.5875,2414.8354430379745,3120.6739130434785,46.2125,46.40506329113924,63.76086956521739,1258.5375,1319.8987341772151,1777.9782608695652
airavata-django-portal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
airflow,11.95,15.601626016260163,17.613333333333333,13.09,17.73170731707317,21.266666666666666,24.005,33.300813008130085,41.16,603.9,868.8780487804878,1182.56,13.26,17.991869918699187,21.6,387.38,544.69918699187,744.0133333333333
akshare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albumentations,12.636363636363637,15.071428571428571,17.166666666666668,32.68181818181818,39.285714285714285,42.666666666666664,41.04545454545455,48.57142857142857,55.166666666666664,1277.1818181818182,1772.857142857143,1886.0,34.27272727272727,41.07142857142857,45.0,2396.818181818182,3322.5,3071.3333333333335
algo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
allennlp,8.553763440860216,10.255813953488373,12.089285714285714,36.844086021505376,43.604651162790695,53.94642857142857,21.741935483870968,27.13953488372093,35.464285714285715,534.4139784946236,777.4418604651163,1015.0892857142857,38.166666666666664,45.74418604651163,55.964285714285715,1457.6559139784947,2437.813953488372,2934.964285714286
allura,8.632142857142858,9.53623188405797,10.366412213740459,26.75357142857143,32.6231884057971,38.58015267175573,44.97142857142857,55.091787439613526,66.58015267175573,770.6321428571429,940.9323671497584,1120.1679389312976,39.44642857142857,48.64734299516908,59.0763358778626,625.9142857142857,773.9951690821256,932.6183206106871
AlphaPose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
