project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,4.2,3.909090909090909,4.0,0.5333333333333333,0.5454545454545454,0.5,28.666666666666668,30.454545454545453,30.166666666666668,752.8666666666667,839.9090909090909,820.75,0.5333333333333333,0.5454545454545454,0.5,14.666666666666666,13.181818181818182,9.083333333333334
Agriculture_KnowledgeGraph,2.0,NA,NA,0.0,NA,NA,9.666666666666666,NA,NA,489.0,NA,NA,0.0,NA,NA,0.0,NA,NA
aiohttp,18.049382716049383,17.987951807228917,24.217391304347824,39.27160493827161,39.06024096385542,53.78260869565217,81.51851851851852,77.855421686747,103.8695652173913,2372.617283950617,2434.3614457831327,3120.6739130434785,46.0,45.80722891566265,63.76086956521739,1265.320987654321,1362.1686746987953,1777.9782608695652
airavata-django-portal,2.8,3.4,3.75,0.0,0.0,0.0,19.04,46.8,55.5,354.36,1063.0,1304.5,0.0,0.0,0.0,0.0,0.0,0.0
airflow,15.16161616161616,17.45985401459854,21.534246575342465,15.95959595959596,19.416058394160583,25.47945205479452,29.858585858585858,35.75912408759124,48.57534246575342,693.8838383838383,886.5182481751825,1296.6849315068494,16.136363636363637,19.67153284671533,25.80821917808219,422.27777777777777,546.7810218978102,780.931506849315
akshare,1.35,NA,NA,0.0,NA,NA,73.35,NA,NA,1279.9,NA,NA,0.0,NA,NA,0.0,NA,NA
albumentations,14.55,19.5,19.4,37.35,50.6,48.0,47.05,65.5,64.4,1569.5,2395.6,2221.4,39.2,52.7,50.4,3224.05,4483.5,3585.4
algo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
algorithms,9.7,NA,10.0,10.8,NA,8.0,12.9,NA,12.0,207.7,NA,261.0,11.0,NA,8.0,193.6,NA,220.0
allennlp,9.238341968911918,11.552631578947368,12.690909090909091,38.056994818652846,47.578947368421055,53.69090909090909,23.33160621761658,30.81578947368421,37.09090909090909,519.880829015544,831.3421052631579,980.9454545454546,39.25388601036269,49.973684210526315,55.61818181818182,1320.958549222798,2415.9210526315787,2661.181818181818
allura,10.307692307692308,11.779310344827586,12.178217821782178,34.85576923076923,44.52413793103448,48.43564356435643,58.00480769230769,74.44827586206897,82.87128712871286,936.3557692307693,1229.0620689655173,1345.7128712871288,51.20192307692308,66.22068965517241,73.91089108910892,777.0721153846154,1022.1586206896552,1134.3366336633662
AlphaPose,6.5,NA,NA,1.5,NA,NA,12.5,NA,NA,727.5,NA,NA,1.5,NA,NA,93.0,NA,NA
altair,3.466666666666667,3.857142857142857,4.2,0.5,0.8571428571428571,0.4,26.266666666666666,24.428571428571427,31.8,2459.733333333333,1817.857142857143,1740.0,0.5,0.8571428571428571,0.4,9.466666666666667,5.285714285714286,2.4
androguard,7.409090909090909,7.2105263157894735,7.5,2.5454545454545454,2.236842105263158,2.764705882352941,44.81818181818182,43.31578947368421,46.705882352941174,2730.909090909091,2963.315789473684,3154.470588235294,2.5454545454545454,2.236842105263158,2.764705882352941,123.02272727272727,129.81578947368422,140.26470588235293
angr,7.224852071005917,6.578199052132701,8.184782608695652,10.408284023668639,8.739336492890995,15.282608695652174,34.142011834319526,29.066350710900473,43.98913043478261,864.3076923076923,756.0284360189573,1266.8260869565217,10.585798816568047,8.886255924170616,15.576086956521738,306.1301775147929,256.7962085308057,509.45652173913044
anki,4.7368421052631575,4.773809523809524,5.447761194029851,0.9894736842105263,1.0119047619047619,1.1791044776119404,48.76842105263158,47.0,55.55223880597015,887.0842105263158,750.4047619047619,863.044776119403,1.0210526315789474,1.0476190476190477,1.2238805970149254,16.842105263157894,17.976190476190474,21.53731343283582
ansible,9.863721804511279,11.823529411764707,13.784552845528456,15.87312030075188,20.188640973630832,27.1260162601626,22.56672932330827,29.328600405679513,39.264227642276424,616.2922932330827,796.3732251521299,976.7926829268292,16.39097744360902,21.056795131845842,28.349593495934958,476.86936090225566,643.7038539553753,778.5528455284552
apex,4.714285714285714,4.833333333333333,5.0,4.571428571428571,4.833333333333333,4.6,30.857142857142858,33.833333333333336,35.0,999.7142857142857,1161.5,1215.6,4.571428571428571,4.833333333333333,4.6,354.0,412.0,465.4
apistar,3.5,4.0,3.5,16.166666666666668,14.666666666666666,10.0,30.0,16.333333333333332,9.0,475.6666666666667,560.6666666666666,682.5,16.166666666666668,14.666666666666666,10.0,863.3333333333334,1192.6666666666667,960.0
apprise,1.5714285714285714,1.5535714285714286,1.5,13.365079365079366,12.821428571428571,11.75,22.41269841269841,21.357142857142858,20.964285714285715,1028.857142857143,1035.6607142857142,964.2142857142857,13.841269841269842,13.25,12.214285714285714,785.3809523809524,779.75,704.6428571428571
apscheduler,1.2142857142857142,1.0,1.4,0.5,0.0,0.4,18.5,9.0,27.2,880.7142857142857,626.0,1674.8,0.5,0.0,0.4,35.714285714285715,0.0,83.6
ArchiveBox,3.75,4.5,4.5625,0.03125,0.0,0.0625,26.28125,48.3,31.625,440.4375,871.8,535.4375,0.0625,0.0,0.125,0.25,0.0,0.5
asm-dude,1.0,1.0,1.0,0.0,0.0,0.0,9.0,8.0,8.5,79.0,166.0,122.5,0.0,0.0,0.0,0.0,0.0,0.0
astroquery,6.841463414634147,8.0,8.0,0.7073170731707317,1.1538461538461537,0.8636363636363636,42.63414634146341,63.05128205128205,68.5909090909091,983.1951219512196,1586.2051282051282,1388.3181818181818,0.7804878048780488,1.2307692307692308,0.8636363636363636,26.975609756097562,30.923076923076923,8.363636363636363
asyncpg,5.615384615384615,5.714285714285714,10.333333333333334,13.153846153846153,16.428571428571427,32.666666666666664,36.30769230769231,43.5,70.0,1263.6153846153845,1288.0,2454.6666666666665,14.23076923076923,17.5,35.333333333333336,624.6923076923077,721.2857142857143,1603.6666666666667
attrs,14.4,19.8,27.666666666666668,49.3,75.2,99.0,60.4,81.0,112.0,1876.2,3071.4,4176.666666666667,52.0,79.6,107.0,2168.1,3743.2,5166.666666666667
dagster,8.16751269035533,7.992,8.413793103448276,2.8358714043993234,3.128,3.5517241379310347,36.121827411167516,33.202666666666666,39.78448275862069,788.8730964467005,938.904,1142.25,2.9086294416243654,3.2186666666666666,3.6293103448275863,69.49915397631133,79.392,88.38362068965517
DAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
darkflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dash,10.470588235294118,9.714285714285714,19.0,6.823529411764706,6.285714285714286,12.5,74.29411764705883,64.28571428571429,165.75,1794.235294117647,1839.2142857142858,3718.5,6.9411764705882355,6.285714285714286,12.5,271.7647058823529,246.07142857142858,550.75
dask,18.136363636363637,20.373831775700936,23.0,48.324675324675326,57.626168224299064,67.27380952380952,65.14285714285714,76.71028037383178,89.92857142857143,1942.155844155844,2384.570093457944,2791.1309523809523,49.95454545454545,59.64485981308411,69.72619047619048,1435.3961038961038,1786.271028037383,2065.4880952380954
datasets,6.1063829787234045,7.090909090909091,7.157894736842105,22.02127659574468,32.0,33.68421052631579,23.382978723404257,32.86363636363637,34.26315789473684,926.9787234042553,1216.5,1350.7894736842106,22.21276595744681,32.22727272727273,34.1578947368421,930.9787234042553,1226.4545454545455,1375.2105263157894
datasette,3.3529411764705883,3.7,4.533333333333333,51.205882352941174,63.2,80.2,61.970588235294116,80.25,100.66666666666667,1279.5294117647059,1800.4,2229.5333333333333,62.73529411764706,79.65,99.6,1353.264705882353,1761.9,2311.4666666666667
deap,5.5,6.75,NA,1.0,0.25,NA,19.5,78.75,NA,729.0,2182.25,NA,2.0,0.25,NA,16.0,1.0,NA
DeDRM_tools,3.111111111111111,3.0,1.0,0.3333333333333333,0.2222222222222222,0.0,9.11111111111111,9.555555555555555,5.0,268.22222222222223,361.6666666666667,225.0,0.3333333333333333,0.2222222222222222,0.0,3.7777777777777777,3.111111111111111,0.0
deep-learning-for-image-processing,1.2,1.1666666666666667,1.0,0.0,0.0,0.0,14.666666666666666,15.333333333333334,12.5,394.6666666666667,430.5,499.0,0.0,0.0,0.0,0.0,0.0,0.0
DeepCTR,2.171875,NA,4.5,5.328125,NA,7.0,13.484375,NA,13.0,280.53125,NA,388.5,5.328125,NA,7.0,77.640625,NA,238.0
DeepFaceLab,2.4482758620689653,2.4,2.142857142857143,0.7241379310344828,0.8666666666666667,0.35714285714285715,34.0,43.4,37.142857142857146,1435.344827586207,1954.8,1740.0714285714287,0.7241379310344828,0.8666666666666667,0.35714285714285715,12.862068965517242,15.466666666666667,12.5
DeepPavlov,8.038461538461538,11.0,10.4,25.743589743589745,42.578947368421055,39.4,21.307692307692307,35.8421052631579,24.0,588.4102564102565,1188.9473684210527,530.2,28.53846153846154,48.68421052631579,42.6,1899.1153846153845,4306.210526315789,1899.8
DeepSpeed,7.588235294117647,9.1,8.083333333333334,30.0,35.1,32.333333333333336,22.294117647058822,26.7,24.25,1060.5882352941176,1336.5,1144.6666666666667,30.235294117647058,35.3,32.666666666666664,1736.8235294117646,2146.0,1803.0
