project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,3.260869565217391,3.1875,3.5,0.43478260869565216,0.5,0.42857142857142855,19.73913043478261,22.125,25.785714285714285,508.04347826086956,600.875,687.7142857142857,0.43478260869565216,0.5,0.42857142857142855,9.73913043478261,9.3125,7.785714285714286
Agriculture_KnowledgeGraph,1.0,1.0,1.0,0.0,0.0,0.0,1.25,1.3333333333333333,1.3333333333333333,173.625,398.6666666666667,398.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0
aiohttp,17.896103896103895,18.92,24.431818181818183,38.98701298701299,41.49333333333333,53.97727272727273,78.51948051948052,82.89333333333333,105.5909090909091,2419.051948051948,2646.133333333333,3216.7727272727275,45.753246753246756,48.733333333333334,64.0909090909091,1288.1038961038962,1484.8266666666666,1822.6136363636363
airavata-django-portal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
airflow,10.009677419354839,11.593073593073592,14.467213114754099,10.983870967741936,12.96103896103896,17.34426229508197,19.06451612903226,22.783549783549784,31.327868852459016,501.9193548387097,608.8917748917748,891.4754098360655,11.1,13.108225108225108,17.549180327868854,333.35483870967744,399.7705627705628,578.9016393442623
akshare,1.0,NA,NA,0.0,NA,NA,4.0,NA,NA,37.333333333333336,NA,NA,0.0,NA,NA,0.0,NA,NA
albumentations,11.75,16.22222222222222,17.166666666666668,27.4375,40.0,42.666666666666664,36.9375,53.333333333333336,55.166666666666664,1285.8125,1951.2222222222222,1886.0,28.5,41.44444444444444,45.0,1842.25,2860.5555555555557,3071.3333333333335
algo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
allennlp,7.550387596899225,8.35483870967742,8.425925925925926,33.651162790697676,32.58064516129032,40.46296296296296,18.852713178294575,20.741935483870968,23.166666666666668,480.5813953488372,687.1612903225806,661.1296296296297,34.64341085271318,33.25806451612903,41.592592592592595,1690.4031007751937,3174.7741935483873,3026.8888888888887
allura,9.24,10.294117647058824,10.961538461538462,32.64,38.71568627450981,44.97435897435897,55.584,65.79411764705883,77.65384615384616,846.504,1013.9607843137255,1204.679487179487,49.672,58.990196078431374,69.7051282051282,714.2,855.6862745098039,1019.7564102564103
AlphaPose,1.7058823529411764,1.8,2.2,0.29411764705882354,0.3,0.6,2.588235294117647,2.6,3.8,249.41176470588235,295.0,287.2,0.29411764705882354,0.3,0.6,10.588235294117647,15.6,7.6
altair,1.8571428571428572,1.75,2.0,0.14285714285714285,0.25,1.0,7.857142857142857,9.5,14.0,625.4285714285714,1034.25,3138.0,0.14285714285714285,0.25,1.0,1.2857142857142858,2.25,9.0
androguard,7.67741935483871,8.074074074074074,8.608695652173912,2.903225806451613,2.8518518518518516,3.4347826086956523,51.193548387096776,52.81481481481482,58.08695652173913,3489.3870967741937,3822.6666666666665,4188.478260869565,2.903225806451613,2.8518518518518516,3.4347826086956523,156.58064516129033,173.0,184.04347826086956
angr,4.177835051546392,4.573717948717949,5.471590909090909,6.018041237113402,6.910256410256411,10.0,16.463917525773194,18.977564102564102,25.8125,512.2835051546392,597.7403846153846,806.0625,6.105670103092783,7.012820512820513,10.153409090909092,229.2577319587629,271.19871794871796,378.92045454545456
anki,3.1402439024390243,4.34375,4.865853658536586,0.6402439024390244,0.9791666666666666,1.1097560975609757,27.945121951219512,40.208333333333336,46.1219512195122,496.359756097561,628.6458333333334,713.5975609756098,0.6646341463414634,1.0208333333333333,1.1585365853658536,12.304878048780488,19.833333333333332,23.01219512195122
ansible,6.029657089898054,7.492283950617284,9.364620938628159,10.285449490268768,13.373456790123457,20.256317689530686,13.916589434661724,18.825617283950617,28.790613718411553,541.5440222428174,655.6805555555555,780.5559566787003,10.739573679332716,13.959876543209877,21.162454873646208,526.5449490268768,616.2175925925926,717.3574007220217
apex,2.6296296296296298,2.1176470588235294,4.0,2.3333333333333335,2.0588235294117645,4.125,8.037037037037036,8.0,16.125,301.51851851851853,365.94117647058823,587.625,2.3333333333333335,2.0588235294117645,4.125,143.1851851851852,180.64705882352942,276.375
apistar,2.0714285714285716,2.125,2.0,9.071428571428571,8.375,6.4,14.142857142857142,7.5,4.8,456.64285714285717,287.25,356.0,9.071428571428571,8.375,6.4,677.6428571428571,620.25,563.0
apprise,1.263157894736842,1.25,1.3255813953488371,7.905263157894737,7.738095238095238,8.395348837209303,13.378947368421052,12.892857142857142,14.488372093023257,650.3789473684211,660.0119047619048,764.0,8.157894736842104,7.928571428571429,8.69767441860465,509.37894736842105,519.9047619047619,582.0
apscheduler,1.0,1.0,1.0,0.0,0.0,0.0,7.842105263157895,9.0,13.25,275.3157894736842,626.0,376.5,0.0,0.0,0.0,0.0,0.0,0.0
ArchiveBox,3.208955223880597,4.125,4.458333333333333,0.014925373134328358,0.0,0.041666666666666664,20.82089552238806,39.25,30.416666666666668,352.34328358208955,637.25,453.4166666666667,0.029850746268656716,0.0,0.08333333333333333,0.11940298507462686,0.0,0.3333333333333333
asm-dude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
