project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agriculture_KnowledgeGraph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aiohttp,27.357142857142858,25.09375,30.0,61.07142857142857,55.46875,67.41666666666667,120.10714285714286,108.5625,134.33333333333334,3218.3928571428573,2978.8125,3563.125,72.28571428571429,65.53125,80.0,1802.75,1662.125,1939.125
airavata-django-portal,4.666666666666667,5.5,5.5,0.0,0.0,0.0,68.66666666666667,96.0,96.0,1609.6666666666667,2308.5,2308.5,0.0,0.0,0.0,0.0,0.0,0.0
airflow,10.29946524064171,12.959349593495935,15.878048780487806,12.037433155080214,15.65040650406504,19.71951219512195,19.754010695187166,26.54471544715447,34.40243902439025,566.4010695187166,769.2113821138212,1017.5487804878048,12.181818181818182,15.869918699186991,20.01219512195122,388.88235294117646,515.9268292682926,683.9756097560976
akshare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
albumentations,17.0,17.0,20.666666666666668,43.75,43.75,54.666666666666664,55.0,55.0,69.66666666666667,2362.5,2362.5,2863.6666666666665,45.75,45.75,57.333333333333336,3766.5,3766.5,4735.666666666667
algo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
allennlp,6.310344827586207,7.0,9.0,30.689655172413794,30.571428571428573,41.625,16.229885057471265,15.0,26.3125,474.71264367816093,492.3809523809524,829.90625,31.482758620689655,31.38095238095238,42.625,2385.862068965517,4908.0,4491.0625
allura,11.556701030927835,12.421686746987952,12.870967741935484,45.0,51.24096385542169,54.96774193548387,78.50515463917526,89.25301204819277,97.98387096774194,1318.618556701031,1509.8433734939758,1611.3709677419354,69.84536082474227,79.6867469879518,87.69354838709677,1098.360824742268,1260.6626506024097,1366.758064516129
AlphaPose,1.8333333333333333,1.6666666666666667,3.0,0.16666666666666666,0.0,1.0,2.1666666666666665,2.3333333333333335,3.0,257.3333333333333,384.0,298.0,0.16666666666666666,0.0,1.0,0.6666666666666666,0.0,4.0
altair,2.4444444444444446,2.5,3.0,0.3333333333333333,0.4375,0.75,14.333333333333334,14.4375,13.75,3929.3703703703704,901.5625,1390.25,0.3333333333333333,0.4375,0.75,1.5555555555555556,2.4375,3.5
androguard,7.235294117647059,7.176470588235294,7.0,2.588235294117647,2.588235294117647,2.4444444444444446,52.88235294117647,52.35294117647059,50.5,4572.941176470588,4555.941176470588,4351.888888888889,2.588235294117647,2.588235294117647,2.4444444444444446,125.11764705882354,125.11764705882354,118.16666666666667
angr,5.391666666666667,5.5675675675675675,6.743243243243243,10.566666666666666,11.18918918918919,14.743243243243244,26.366666666666667,27.783783783783782,36.513513513513516,772.7583333333333,830.4594594594595,1080.054054054054,10.75,11.387387387387387,15.027027027027026,346.4916666666667,373.65765765765764,497.7567567567568
anki,4.758620689655173,4.758620689655173,5.666666666666667,1.3103448275862069,1.3103448275862069,1.619047619047619,44.0,44.0,53.857142857142854,695.0344827586207,695.0344827586207,857.5714285714286,1.3793103448275863,1.3793103448275863,1.7142857142857142,15.10344827586207,15.10344827586207,20.476190476190474
ansible,5.373801916932908,8.86013986013986,9.729166666666666,13.37699680511182,23.867132867132867,29.604166666666668,18.242811501597444,34.00699300699301,44.895833333333336,487.36421725239614,804.3986013986014,987.8125,14.370607028753994,25.60839160839161,31.34375,499.9712460063898,776.4895104895105,850.75
apex,1.1481481481481481,1.2222222222222223,NA,0.9629629629629629,0.8888888888888888,NA,1.2222222222222223,1.2222222222222223,NA,144.96296296296296,150.22222222222223,NA,0.9629629629629629,0.8888888888888888,NA,113.07407407407408,84.22222222222223,NA
apistar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apprise,1.75,1.7222222222222223,1.1,16.4,16.666666666666668,9.6,26.25,27.27777777777778,16.7,1508.9,1546.7777777777778,858.8,16.85,17.11111111111111,10.0,1077.5,1076.5555555555557,560.2
apscheduler,1.0454545454545454,1.0,1.0,0.22727272727272727,0.0,0.0,8.363636363636363,9.0,13.2,346.3636363636364,626.0,665.6,0.22727272727272727,0.0,0.0,3.727272727272727,0.0,0.0
ArchiveBox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
asm-dude,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
astroquery,7.25,7.25,10.5,0.75,0.75,1.0,84.25,84.25,124.5,1678.5,1678.5,2170.0,0.75,0.75,1.0,4.5,4.5,8.0
asyncpg,13.0,10.0,13.0,45.5,38.333333333333336,45.5,96.5,79.0,96.5,3493.0,2769.0,3493.0,49.5,41.0,49.5,2336.5,1822.6666666666667,2336.5
attrs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dagster,6.695652173913044,7.458823529411765,8.007633587786259,2.8043478260869565,3.323529411764706,3.83206106870229,28.308695652173913,33.68235294117647,39.32824427480916,781.0434782608696,919.5764705882353,1096.5496183206108,2.878260869565217,3.4235294117647057,3.931297709923664,73.71739130434783,88.2,93.19083969465649
DAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
darkflow,1.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,7.333333333333333,7.333333333333333,7.333333333333333,49.666666666666664,49.666666666666664,49.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0
dash,4.46875,3.533333333333333,10.6,2.6875,1.9333333333333333,7.6,25.1875,18.42222222222222,110.2,670.5625,531.3111111111111,2566.6,2.6875,1.9555555555555555,7.6,119.15625,87.35555555555555,256.2
dask,18.37704918032787,19.098039215686274,20.730337078651687,51.84426229508197,55.6764705882353,61.157303370786515,68.04098360655738,73.81372549019608,81.56179775280899,2156.6721311475408,2349.1372549019607,2551.0112359550562,53.67213114754098,57.64705882352941,63.449438202247194,1631.1803278688524,1758.2843137254902,1923.3820224719102
datasets,3.657142857142857,4.476190476190476,5.8,12.314285714285715,17.761904761904763,25.133333333333333,12.542857142857143,18.142857142857142,25.666666666666668,464.9142857142857,695.7619047619048,994.6666666666666,12.428571428571429,17.952380952380953,25.4,463.0,692.5714285714286,990.2
datasette,3.642857142857143,3.8461538461538463,4.625,60.5,64.15384615384616,86.625,78.78571428571429,83.84615384615384,114.25,1655.642857142857,1740.0,2466.75,76.85714285714286,81.6923076923077,110.375,1627.642857142857,1683.3846153846155,2368.75
deap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeDRM_tools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
deep-learning-for-image-processing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeepCTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeepFaceLab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DeepPavlov,4.647058823529412,3.6666666666666665,3.25,5.294117647058823,6.888888888888889,6.875,13.647058823529411,6.111111111111111,6.0,426.88235294117646,320.3333333333333,317.0,5.411764705882353,7.111111111111111,7.0,281.5882352941176,395.3333333333333,396.0
