project,p_avg_exp_authornum,p_avg_pos_authornum,p_avg_both_authornum,p_avg_exp_issuenum,p_avg_pos_issuenum,p_avg_both_issuenum,p_avg_exp_changecmt,p_avg_pos_changecmt,p_avg_both_changecmt,p_avg_exp_changeloc,p_avg_pos_changeloc,p_avg_both_changeloc,p_avg_exp_bugcmt,p_avg_pos_bugcmt,p_avg_both_bugcmt,p_avg_exp_bugloc,p_avg_pos_bugloc,p_avg_both_bugloc
12306,3.6538461538461537,3.388888888888889,3.7058823529411766,0.4230769230769231,0.4444444444444444,0.4117647058823529,20.846153846153847,21.11111111111111,23.352941176470587,513.2307692307693,570.5555555555555,611.8235294117648,0.4230769230769231,0.4444444444444444,0.4117647058823529,8.692307692307692,8.277777777777779,6.529411764705882
Agriculture_KnowledgeGraph,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aiohttp,17.352941176470587,17.102272727272727,24.217391304347824,37.741176470588236,36.97727272727273,53.78260869565217,78.09411764705882,73.75,103.8695652173913,2271.8470588235296,2301.125,3120.6739130434785,44.16470588235294,43.35227272727273,63.76086956521739,1215.6352941176472,1288.2727272727273,1777.9782608695652
airavata-django-portal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
airflow,8.579654510556622,11.091228070175438,13.2012987012987,9.209213051823417,12.589473684210526,15.837662337662337,14.888675623800383,20.796491228070174,27.0974025974026,380.9136276391555,551.3824561403509,788.7467532467532,9.295585412667947,12.736842105263158,16.01948051948052,267.1190019193858,378.7438596491228,536.1493506493506
akshare,1.18,NA,1.0,0.0,NA,0.0,33.02,NA,4.0,489.18,NA,137.0,0.0,NA,0.0,0.0,NA,0.0
albumentations,10.147058823529411,13.411764705882353,17.166666666666668,25.147058823529413,34.470588235294116,42.666666666666664,30.147058823529413,41.8235294117647,55.166666666666664,1057.0588235294117,1576.6470588235295,1886.0,26.38235294117647,36.0,45.0,2057.0,2855.705882352941,3071.3333333333335
algo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
algorithms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
allennlp,6.7601246105919,9.346153846153847,10.840579710144928,31.90031152647975,43.34615384615385,50.3768115942029,15.906542056074766,24.25,30.782608695652176,387.85046728971963,733.4807692307693,897.7826086956521,32.97507788161994,45.32692307692308,52.18840579710145,1825.7352024922118,3880.980769230769,4005.985507246377
