project,6_e_Total_InstanceCount,6_p_Total_InstanceCount,6_e_Total_DistinctFileCount,6_p_Total_DistinctFileCount,6_e_UnstableInterface_InstanceCount,6_p_UnstableInterface_InstanceCount,6_e_UnstableInterface_DistinctFileCount,6_p_UnstableInterface_DistinctFileCount,6_e_UnhealthyInheritance_InstanceCount,6_p_UnhealthyInheritance_InstanceCount,6_e_UnhealthyInheritance_DistinctFileCount,6_p_UnhealthyInheritance_DistinctFileCount,6_e_Clique_InstanceCount,6_p_Clique_InstanceCount,6_e_Clique_DistinctFileCount,6_p_Clique_DistinctFileCount,6_e_Crossing_InstanceCount,6_p_Crossing_InstanceCount,6_e_Crossing_DistinctFileCount,6_p_Crossing_DistinctFileCount,6_e_PackageCycle_InstanceCount,6_p_PackageCycle_InstanceCount,6_e_PackageCycle_DistinctFileCount,6_p_PackageCycle_DistinctFileCount,6_e_ModularityViolation_InstanceCount,6_p_ModularityViolation_InstanceCount,6_e_ModularityViolation_DistinctFileCount,6_p_ModularityViolation_DistinctFileCount
12306,7,14,27,38,1,2,20,30,0,0,0,0,0,1,0,14,0,2,0,28,2,5,8,24,4,4,17,17
Agriculture_KnowledgeGraph,4,4,14,12,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,2,8,8,2,1,6,4
aiohttp,44,63,125,125,10,17,124,125,4,5,21,32,1,3,7,31,16,23,79,98,0,1,0,91,13,14,111,111
airflow,98,153,636,704,19,27,576,605,9,17,124,190,1,3,46,82,12,18,127,200,22,50,174,313,35,38,209,207
akshare,7,7,76,76,1,1,68,68,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,5,5,21,21
albumentations,10,14,32,39,0,1,0,38,1,1,3,4,1,2,2,6,1,2,11,23,4,4,16,16,3,4,21,21
algo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
algorithms,5,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10
allennlp,105,116,399,403,21,23,340,340,18,23,74,88,4,2,13,31,19,22,174,186,22,25,121,129,21,21,194,194
allura,129,185,431,456,27,41,414,438,13,16,64,98,3,4,61,85,29,50,236,291,18,37,107,130,39,37,219,215
AlphaPose,6,10,17,24,0,0,0,0,2,2,6,6,1,2,2,4,0,0,0,0,2,5,9,19,1,1,2,2
altair,17,18,78,79,2,2,60,60,2,3,15,27,0,0,0,0,2,2,31,33,1,1,7,7,10,10,32,32
androguard,20,42,72,73,4,7,72,72,2,3,8,18,0,1,0,40,4,14,24,60,4,11,12,33,6,6,47,46
angr,185,305,651,730,20,42,527,611,20,37,65,125,11,2,29,212,27,62,260,478,55,115,276,397,52,47,250,232
anki,62,107,205,206,18,32,158,158,2,8,6,29,2,1,81,111,22,40,127,140,7,14,111,165,11,12,99,96
ansible,240,354,1657,2410,14,26,765,1624,18,30,240,314,4,13,29,152,17,28,302,403,23,95,227,1110,164,162,1195,1189
apex,10,16,33,62,0,0,0,0,2,4,6,27,1,3,2,7,0,1,0,8,3,5,19,27,4,3,9,9
apistar,5,6,15,17,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,2,13,15,3,3,7,7
apprise,20,29,119,123,4,5,93,93,2,3,10,22,0,1,0,2,3,5,20,54,4,8,93,95,7,7,72,72
apscheduler,16,17,43,43,4,4,38,38,4,4,22,22,1,2,6,8,0,0,0,0,3,3,19,19,4,4,14,14
ArchiveBox,31,31,84,84,7,7,73,73,0,0,0,0,1,1,41,42,5,5,49,50,12,12,67,67,6,6,34,33
asm-dude,5,6,11,11,0,0,0,0,0,0,0,0,4,5,8,10,0,0,0,0,0,0,0,0,1,1,3,2
astroquery,32,41,161,170,6,7,140,144,0,1,0,4,0,1,0,2,1,2,8,42,3,8,14,25,22,22,96,95
asyncpg,7,12,25,40,0,1,0,39,0,1,0,3,0,1,0,6,0,1,0,28,0,0,0,0,7,8,25,21
attrs,7,8,30,31,2,2,29,29,0,0,0,0,0,1,0,3,1,1,16,16,0,0,0,0,4,4,14,13
dagster,404,503,1220,1249,48,60,1071,1088,32,41,181,230,10,10,218,299,121,147,734,790,88,138,351,402,105,107,657,649
DAIN,3,3,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,15,15,0,0,0,0
darkflow,2,8,5,26,0,0,0,0,1,1,3,3,0,1,0,21,0,0,0,0,1,6,3,20,0,0,0,0
dash,12,19,37,105,0,3,0,68,2,4,7,49,1,1,2,12,0,1,0,39,2,4,20,27,7,6,24,21
dask,102,122,207,220,30,32,203,203,7,7,75,123,1,1,64,80,40,49,179,183,13,21,81,141,11,12,156,156
datasets,49,60,468,484,6,8,450,454,4,6,20,35,2,1,12,38,8,9,58,71,3,11,42,88,26,25,113,112
datasette,15,21,60,64,3,4,58,63,2,2,9,14,0,1,0,14,2,4,29,47,1,2,10,23,7,8,38,38
deap,3,5,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,2,3,8,7
DeDRM_tools,4,7,12,48,0,1,0,47,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,4,4,4,12,12
deep-learning-for-image-processing,7,9,17,31,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,0,2,0,18,6,6,15,15
DeepCTR,13,13,91,91,7,7,91,91,0,0,0,0,1,1,2,2,2,2,23,23,0,0,0,0,3,3,66,66
DeepFaceLab,15,18,61,63,5,6,58,61,0,0,0,0,1,1,2,2,2,3,20,29,2,3,6,9,5,5,29,29
DeepPavlov,31,44,176,188,4,4,145,145,5,7,14,17,1,3,2,10,4,4,29,29,6,14,33,58,11,12,80,80
DeepSpeed,30,44,92,106,2,2,63,63,4,5,16,24,0,4,0,31,4,7,28,51,15,20,49,57,5,6,20,17
deis,5,9,44,49,1,1,44,44,0,0,0,0,0,1,0,2,1,2,10,21,0,2,0,7,3,3,23,23
deluge,65,107,252,261,21,25,238,238,6,11,69,115,5,4,12,92,10,30,130,158,6,20,39,155,17,17,178,178
deoplete.nvim,7,11,33,33,2,2,32,32,0,1,0,2,0,1,0,2,0,0,0,0,0,2,0,11,5,5,25,25
Detectron,11,14,66,71,2,2,33,33,0,0,0,0,0,1,0,7,0,1,0,10,7,8,51,57,2,2,4,4
detectron2,88,102,266,277,16,18,205,206,14,16,80,83,0,1,0,46,21,24,129,138,15,21,88,109,22,22,64,62
diagrams,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4
dirsearch,19,39,167,181,3,4,121,121,6,10,21,26,2,3,16,61,3,7,34,55,2,12,22,50,3,3,19,19
discord.py,56,69,93,102,12,16,80,80,6,8,25,29,3,1,38,59,27,31,78,80,2,7,26,70,6,6,63,63
django-allauth,45,48,284,285,13,14,282,282,1,1,7,9,2,2,9,12,11,13,199,203,3,4,22,23,15,14,86,86
django-cms,94,120,276,285,23,29,272,277,4,6,25,37,2,1,46,64,22,34,173,190,18,27,89,114,25,23,155,152
django-crispy-forms,8,8,25,25,1,1,23,23,1,1,7,7,1,1,6,6,1,1,12,13,1,1,6,6,3,3,18,18
django-extensions,15,18,152,156,2,2,146,146,3,3,10,11,0,0,0,0,1,1,17,17,0,3,0,26,9,9,80,80
django-haystack,31,40,124,124,11,14,122,124,3,5,16,25,0,1,0,13,8,10,63,79,2,3,24,29,7,7,93,93
django-oscar,29,74,273,357,5,14,268,329,3,14,10,67,1,2,2,17,1,12,24,144,1,17,4,71,18,15,90,80
django-rest-framework,31,51,111,118,11,12,107,107,1,9,11,27,0,2,0,41,7,11,78,90,4,9,43,108,8,8,60,59
django-tastypie,17,22,103,107,2,2,102,102,1,1,3,7,0,1,0,5,4,5,43,47,3,6,21,51,7,7,35,33
DjangoBlog,17,19,62,62,3,3,61,61,0,0,0,0,1,1,3,3,0,1,0,12,9,11,35,38,4,3,25,24
doccano,4,5,28,33,1,1,21,21,0,0,0,0,0,1,0,4,0,0,0,0,2,2,10,17,1,1,2,2
docker-py,31,48,109,112,8,9,104,106,0,12,0,26,0,3,0,15,6,8,77,83,5,5,40,40,12,11,55,54
docker-stacks,1,2,3,19,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
docutils,42,65,184,197,6,9,176,177,3,7,8,20,1,1,2,38,3,8,103,121,4,15,27,70,25,25,116,115
dotbot,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0
dowhy,15,16,60,67,1,2,40,48,1,1,3,3,1,1,7,7,0,1,0,11,5,5,36,41,7,6,26,24
dvc,146,175,378,393,28,37,344,352,15,18,134,180,2,1,127,166,33,42,261,295,32,42,197,230,36,35,235,233
dymos,11,18,106,146,1,2,96,139,0,2,0,8,0,1,0,4,0,1,0,51,5,7,22,24,5,5,45,43
easytrader,5,7,21,23,1,1,19,19,0,1,0,3,0,1,0,3,0,1,0,9,0,0,0,0,4,3,19,18
edgedb,166,226,336,355,44,53,329,330,21,29,92,110,6,4,85,136,56,66,252,270,17,52,113,263,22,22,195,193
Eel,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3
eht-imaging,23,31,55,59,3,4,49,51,0,0,0,0,1,1,9,15,4,10,33,43,8,8,42,43,7,8,31,30
elastalert,5,8,23,27,1,1,22,22,1,1,3,4,0,1,0,6,0,1,0,14,0,1,0,24,3,3,15,14
elasticsearch-dsl-py,14,23,31,50,1,3,28,29,4,5,17,25,1,1,4,18,3,8,23,29,1,2,8,37,4,4,11,11
elasticsearch-py,14,14,112,112,3,3,106,106,0,0,0,0,0,0,0,0,1,1,44,44,3,3,50,50,7,7,51,51
electrum,101,142,216,231,27,32,194,198,14,23,92,120,2,2,77,151,32,43,177,182,7,21,101,173,19,21,99,93
emissary,48,72,140,153,10,12,123,123,7,9,78,86,1,2,7,74,14,18,120,123,9,24,58,80,7,7,62,60
espnet,148,170,552,579,19,26,434,507,27,28,121,135,2,2,5,27,20,24,216,234,16,26,109,141,64,64,282,282
esptool,6,14,27,40,1,2,16,32,1,3,13,23,0,1,0,2,0,1,0,11,0,3,0,14,4,4,15,15
EverydayWechat,11,11,30,30,1,1,26,26,0,0,0,0,0,0,0,0,1,1,10,10,5,5,10,10,4,4,11,11
explainshell,2,4,8,13,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,8,1,1,4,6,1,1,4,3
fabric,5,8,19,27,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,12,0,1,0,6,5,5,19,19
