project,und_avg_infectfile_authornum,und_avg_infectfile_issuenum,und_avg_infectfile_changecmt,und_avg_infectfile_changeloc,und_avg_infectfile_bugcmt,und_avg_infectfile_bugloc,und_avg_unfectfile_authornum,und_avg_unfectfile_issuenum,und_avg_unfectfile_changecmt,und_avg_unfectfile_changeloc,und_avg_unfectfile_bugcmt,und_avg_unfectfile_bugloc,p_avg_infectfile_authornum,p_avg_infectfile_issuenum,p_avg_infectfile_changecmt,p_avg_infectfile_changeloc,p_avg_infectfile_bugcmt,p_avg_infectfile_bugloc,p_avg_unfectfile_authornum,p_avg_unfectfile_issuenum,p_avg_unfectfile_changecmt,p_avg_unfectfile_changeloc,p_avg_unfectfile_bugcmt,p_avg_unfectfile_bugloc
12306,3.444444444,0.407407407,20.14814815,494.5185185,0.407407407,8.37037037,0.939393939,0,1.454545455,34.48484848,0,0,2.842105263,0.289473684,14.92105263,360.7368421,0.289473684,5.947368421,0.727272727,0,1.136363636,35.54545455,0,0
Agriculture_KnowledgeGraph,1.357142857,0,5.285714286,245.0714286,0,0,0.76,0,1.62,427.35,0,0,1.166666667,0,3.25,238,0,0,0.794117647,0,1.931372549,424.6078431,0,0
aiohttp,13.376,28.456,58.472,1739,33.272,978.328,1.5,1.333333333,1.5,41.33333333,1.333333333,35.5,13.376,28.456,58.472,1739,33.272,978.328,1.5,1.333333333,1.5,41.33333333,1.333333333,35.5
airavata-django-portal,1.320754717,0,8.981132075,167.1509434,0,0,0.320930233,0,0.786046512,355.6883721,0,0,1.320754717,0,8.981132075,167.1509434,0,0,0.320930233,0,0.786046512,355.6883721,0,0
airflow,7.240566038,7.803459119,12.47012579,325.1069182,7.874213836,232.591195,1.521072797,1.601532567,1.808429119,121.4061303,1.616858238,110.164751,6.708806818,7.225852273,11.46448864,308.1946023,7.289772727,222.4857955,1.445595855,1.523316062,1.720207254,111.3264249,1.544041451,103.8911917
akshare,0.894736842,0,23.42105263,459.4736842,0,0,0.925233645,0,4.855140187,237.0233645,0,0,0.894736842,0,23.42105263,459.4736842,0,0,0.925233645,0,4.855140187,237.0233645,0,0
albumentations,10.53125,26.09375,31.5,1113.71875,27.375,2178.28125,1.214285714,2.857142857,1.857142857,43.14285714,3.071428571,66,8.974358974,22.35897436,26.41025641,924.8461538,23.48717949,1806.615385,0.571428571,0.428571429,0.571428571,24.85714286,0.428571429,24.42857143
algo,NA,NA,NA,NA,NA,NA,0.25,0.625,0.25,47.625,0.625,82.5,NA,NA,NA,NA,NA,NA,0.25,0.625,0.25,47.625,0.625,82.5
algorithms,9.7,10.8,12.9,207.7,11,193.6,0.888040712,0.926208651,0.954198473,30.76081425,0.977099237,31.34351145,9.7,10.8,12.9,207.7,11,193.6,0.888040712,0.926208651,0.954198473,30.76081425,0.977099237,31.34351145
allennlp,5.679197995,27.22055138,13.26065163,330.2531328,28.13784461,1588.706767,1,9.689655172,1.231527094,76.78325123,10.04433498,546.2463054,5.632754342,26.96277916,13.14143921,328.0297767,27.87096774,1573.992556,1,9.859296482,1.231155779,76.19095477,10.22110553,555.0904523
allura,6.285382831,18.06960557,30.54060325,524.5893271,26.54756381,424.162413,0.875,0.633928571,1.660714286,50.61607143,1.339285714,44.91964286,5.98245614,17.10745614,28.93201754,497.6885965,25.13815789,402.2653509,0.908045977,0.666666667,1.793103448,55.4137931,1.482758621,50.71264368
AlphaPose,2.588235294,0.529411765,4.352941176,323.0588235,0.529411765,16.05882353,1.097222222,0.333333333,1.493055556,136.625,0.333333333,50.48611111,2.166666667,0.416666667,3.458333333,286.1666667,0.416666667,16,1.094890511,0.343065693,1.503649635,133.5620438,0.343065693,52.25547445
altair,2.551282051,0.256410256,14.8974359,1645.384615,0.256410256,3.91025641,0.150289017,0,0.38150289,7.080924855,0,0,2.53164557,0.253164557,14.73417722,1624.683544,0.253164557,3.860759494,0.145348837,0,0.372093023,7.063953488,0,0
