Id,FileCount,Fan-in,Fan-out,CrossingCenter
1,67,58,23,django/db/models/base.py,
2,63,45,24,django/db/models/fields/__init__.py,
3,45,34,14,django/db/models/options.py,
4,44,29,19,django/db/models/fields/related.py,
5,44,28,23,django/db/models/query.py,
6,40,39,13,django/db/models/__init__.py,
7,40,31,9,django/core/management/base.py,
8,39,11,37,django/contrib/admin/options.py,
9,33,4,30,django/test/testcases.py,
10,29,22,12,django/template/base.py,
11,27,21,6,django/core/management/__init__.py,
12,26,24,5,django/apps/registry.py,
13,25,11,13,django/db/migrations/state.py,
14,25,10,23,django/db/models/sql/query.py,
15,25,8,19,django/contrib/admin/utils.py,
16,24,19,9,django/db/models/expressions.py,
17,23,8,15,django/forms/models.py,
18,23,17,7,django/utils/translation/__init__.py,
19,22,12,16,django/contrib/gis/geos/geometry.py,
20,22,7,14,django/contrib/auth/forms.py,
21,21,17,6,django/http/request.py,
22,21,7,15,django/contrib/admin/sites.py,
23,21,13,8,django/forms/widgets.py,
24,20,9,15,django/db/models/sql/compiler.py,
25,19,10,10,django/contrib/auth/models.py,
26,19,16,9,django/db/models/query_utils.py,
27,19,10,10,django/forms/fields.py,
28,19,12,8,django/contrib/auth/__init__.py,
29,19,5,15,django/test/utils.py,
30,18,4,15,django/contrib/admin/views/main.py,
31,18,16,7,django/contrib/gis/gdal/__init__.py,
32,18,13,4,django/utils/html.py,
33,18,10,10,django/contrib/gis/db/models/fields.py,
34,17,8,8,django/core/handlers/wsgi.py,
35,17,13,5,django/db/models/manager.py,
36,17,8,9,django/db/backends/base/schema.py,
37,17,6,12,django/contrib/admin/helpers.py,
38,16,7,8,django/core/serializers/base.py,
39,16,7,12,django/db/backends/oracle/base.py,
40,15,5,9,django/core/files/storage.py,
41,15,6,8,django/db/migrations/loader.py,
42,15,4,11,django/contrib/auth/views.py,
43,15,11,6,django/db/models/lookups.py,
44,15,5,11,django/contrib/gis/gdal/geometries.py,
45,13,10,6,django/template/engine.py,
46,13,7,7,django/template/defaulttags.py,
47,13,4,10,django/db/models/sql/subqueries.py,
48,12,4,10,django/contrib/admin/filters.py,
49,12,5,8,django/forms/forms.py,
50,12,6,5,django/utils/cache.py,
51,12,4,7,django/contrib/contenttypes/models.py,
52,11,9,4,django/db/backends/base/operations.py,
53,11,6,8,django/db/models/deletion.py,
54,11,4,7,django/db/models/fields/files.py,
55,11,10,5,django/forms/__init__.py,
56,11,7,4,django/db/models/aggregates.py,
57,10,5,4,django/db/migrations/graph.py,
58,10,4,6,django/forms/formsets.py,
59,10,4,5,django/utils/formats.py,
60,9,5,5,django/db/models/sql/where.py,
61,9,7,5,django/contrib/admin/__init__.py,
62,9,4,5,django/contrib/gis/db/models/aggregates.py,
63,9,5,4,django/urls/resolvers.py,
64,9,4,4,django/utils/log.py,
65,8,5,4,django/template/loaders/base.py,
66,8,6,4,django/contrib/gis/db/models/__init__.py,
67,7,5,4,django/db/models/indexes.py,

