Id,FileCount,UnstableInterface
1,197,django/db/models/fields/__init__.py
2,175,django/db/models/query.py
3,173,django/db/models/fields/related.py
4,165,django/db/models/base.py
5,158,django/db/models/sql/query.py
6,156,django/contrib/admin/options.py
7,133,django/forms/widgets.py
8,128,django/db/models/options.py
9,123,django/template/base.py
10,120,django/forms/fields.py
11,120,django/utils/html.py
12,117,django/db/backends/__init__.py
13,104,django/core/management/__init__.py
14,92,django/utils/text.py
15,91,django/core/management/base.py
16,91,django/db/models/expressions.py
17,88,django/utils/http.py
18,85,django/db/utils.py
19,85,django/contrib/auth/models.py
20,81,django/conf/__init__.py
21,80,django/utils/functional.py
22,78,django/http/request.py
23,77,django/http/__init__.py
24,76,django/utils/encoding.py
25,73,django/db/migrations/state.py
26,72,django/db/models/__init__.py
27,65,django/db/models/query_utils.py
28,59,django/contrib/auth/__init__.py
29,58,django/db/models/manager.py
30,53,django/db/__init__.py
31,52,django/template/__init__.py
32,52,django/contrib/gis/db/models/fields.py
33,44,django/contrib/gis/geos/libgeos.py
34,44,django/utils/timezone.py
35,41,django/utils/translation/__init__.py
36,41,django/contrib/gis/geos/geometry.py
37,41,django/apps/registry.py
38,37,django/db/models/lookups.py
39,36,django/core/exceptions.py
40,31,django/utils/module_loading.py
41,26,django/template/engine.py
42,22,django/contrib/gis/gdal/__init__.py
43,18,django/__init__.py
44,16,django/forms/__init__.py
45,14,django/apps/__init__.py
46,11,django/contrib/gis/gdal/error.py

