Id,FileCount,Fan-in,Fan-out,CrossingCenter
1,50,34,23,django/db/models/base.py,
2,49,30,24,django/db/models/fields/__init__.py,
3,42,31,14,django/db/models/options.py,
4,42,27,19,django/db/models/fields/related.py,
5,40,39,13,django/db/models/__init__.py,
6,39,30,9,django/core/management/base.py,
7,37,20,23,django/db/models/query.py,
8,36,10,34,django/contrib/admin/options.py,
9,30,4,27,django/test/testcases.py,
10,27,21,6,django/core/management/__init__.py,
11,26,24,4,django/apps/registry.py,
12,24,15,10,django/template/base.py,
13,24,10,21,django/db/models/sql/query.py,
14,23,17,7,django/utils/translation/__init__.py,
15,23,8,15,django/forms/models.py,
16,22,12,16,django/contrib/gis/geos/geometry.py,
17,22,16,9,django/db/models/expressions.py,
18,22,8,13,django/db/migrations/state.py,
19,20,16,6,django/http/request.py,
20,20,6,15,django/db/models/sql/compiler.py,
21,19,5,15,django/test/utils.py,
22,19,8,12,django/contrib/admin/utils.py,
23,18,13,4,django/utils/html.py,
24,18,9,10,django/contrib/auth/models.py,
25,18,10,10,django/contrib/gis/db/models/fields.py,
26,18,11,7,django/forms/widgets.py,
27,18,16,7,django/contrib/gis/gdal/__init__.py,
28,18,5,14,django/contrib/admin/sites.py,
29,18,12,6,django/contrib/auth/__init__.py,
30,17,15,7,django/db/models/query_utils.py,
31,17,13,5,django/db/models/manager.py,
32,16,7,12,django/db/backends/oracle/base.py,
33,16,7,10,django/forms/fields.py,
34,16,8,7,django/db/backends/base/schema.py,
35,15,5,9,django/core/files/storage.py,
36,15,6,10,django/contrib/admin/helpers.py,
37,15,4,12,django/contrib/admin/views/main.py,
38,15,11,6,django/db/models/lookups.py,
39,15,5,11,django/contrib/gis/gdal/geometries.py,
40,14,6,7,django/db/migrations/loader.py,
41,14,4,9,django/contrib/auth/forms.py,
42,13,5,7,django/template/defaulttags.py,
43,13,4,8,django/core/handlers/wsgi.py,
44,13,7,5,django/core/serializers/base.py,
45,12,6,5,django/utils/cache.py,
46,12,4,8,django/contrib/auth/views.py,
47,11,4,8,django/forms/forms.py,
48,11,10,5,django/forms/__init__.py,
49,11,8,5,django/template/engine.py,
50,11,4,7,django/db/models/fields/files.py,
51,11,7,4,django/db/models/aggregates.py,
52,10,5,4,django/db/migrations/graph.py,
53,10,6,6,django/db/models/deletion.py,
54,10,4,6,django/forms/formsets.py,
55,10,4,5,django/utils/formats.py,
56,10,4,5,django/contrib/contenttypes/models.py,
57,9,4,5,django/contrib/gis/db/models/aggregates.py,
58,9,4,4,django/utils/log.py,
59,9,7,5,django/contrib/admin/__init__.py,
60,9,4,6,django/db/models/sql/subqueries.py,
61,8,6,4,django/contrib/gis/db/models/__init__.py,

