filename,UIF_ID,UHI_ID,CRS_ID,CLQ_ID,MVG_ID,PKG_ID,UIF_sum,UHI_sum,CRS_sum,CLQ_sum,MVG_sum,PKG_sum,total_sum
config/logger.py,1,,2,1,,2,1,0,1,1,0,1,3
config/configCommon.py,1;2,,1,1,,3,2,0,1,1,0,1,4
init/login.py,1;2,,1;2,1,2;3;4,1;5,2,0,2,1,3,2,9
inter/GetPassengerDTOs.py,1;2,,1;2,1,2,1,2,0,2,1,1,1,6
agency/cdn_utils.py,1;2,,1;2,1,2,4,2,0,2,1,1,1,6
myUrllib/httpUtils.py,1;2,,1;2,1,3,2;4;5,2,0,2,1,1,3,8
inter/Query.py,1;2,,1;2,1,2,1,2,0,2,1,1,1,6
inter/LiftTicketInit.py,,,,1,,1,0,0,0,1,0,1,1
init/select_ticket_info.py,1;2,,1;2,1,1,1;3;5,2,0,2,1,1,3,8
inter/AutoSubmitOrderRequest.py,1;2,,1;2,1,2;3,1,2,0,2,1,2,1,7
inter/GetQueueCountAsync.py,1,,2,1,1,,1,0,1,1,1,0,3
inter/ConfirmSingleForQueueAsys.py,1,,2,1,,,1,0,1,1,0,0,2
inter/QueryOrderWaitTime.py,1,,2,1,,,1,0,1,1,0,0,2
config/serverchanConf.py,,,,1,,2,0,0,0,1,0,1,1
myException/PassengerUserException.py,,,1,,,,0,0,1,0,0,0,1
inter/ChechFace.py,2,,1,,,1,1,0,1,0,0,1,3
config/getCookie.py,1;2,,1;2,,,2;3,2,0,2,0,0,2,6
myException/ticketConfigException.py,,,1,,,,0,0,1,0,0,0,1
config/urlConf.py,1;2,,1,,3,2;3,2,0,1,0,1,2,6
myException/ticketIsExitsException.py,,,1,,,,0,0,1,0,0,0,1
myException/UserPasswordException.py,1,,1,,,,1,0,1,0,0,0,2
config/TicketEnmu.py,1,,1,,,3,1,0,1,0,0,1,3
inter/SubmitOrderRequest.py,2,,1,,2,1,1,0,1,0,1,1,4
TickerConfig.py,1;2,,1;2,,,,2,0,2,0,0,0,4
inter/CheckUser.py,1;2,,1;2,,3,1,2,0,2,0,1,1,6
agency/agency_tools.py,1,,2,,1,4,1,0,1,0,1,1,4
inter/GetQueueCount.py,1;2,,2,,1,,2,0,1,0,1,0,4
inter/GetPassCodeNewOrderAndLogin.py,1;2,,2,,1,1,2,0,1,0,1,1,5
myUrllib/MySocketUtils.py,1,,2,,,2,1,0,1,0,0,1,3
inter/GetRandCode.py,1;2,,2,,1;2,1,2,0,1,0,2,1,6
config/emailConf.py,1,,,,1,,1,0,0,0,1,0,2
run.py,1;2,,,,4,,2,0,0,0,1,0,3
inter/LoginConf.py,,,,,,1,0,0,0,0,0,1,1
inter/LoginAysnSuggest.py,,,,,,1,0,0,0,0,0,1,1
config/pushbearConf.py,,,,,,2,0,0,0,0,0,1,1
UnitTest/TestAll.py,1;2,,,,,,2,0,0,0,0,0,2
tmp/__init__.py,1,,,,,,1,0,0,0,0,0,1
inter/ConfirmHB.py,2,,,,,,1,0,0,0,0,0,1
