Source,target,id,Type
0,14,0,exp
0,31,1,exp-imp
0,49,2,exp
2,26,3,exp
3,8,4,exp
3,9,5,exp
3,22,6,exp
3,30,7,exp
3,31,8,imp
3,42,9,exp
3,49,10,exp
5,31,11,imp
5,40,12,exp-imp
5,45,13,exp-imp
9,14,14,exp
9,31,15,imp
13,19,16,exp-imp
13,31,17,imp
13,49,18,exp
14,49,19,exp
18,4,20,exp
18,12,21,exp
18,31,22,imp
18,49,23,exp
19,31,24,imp
19,55,25,exp-imp
20,21,26,imp
20,31,27,imp
21,3,28,exp-imp
21,4,29,exp
21,8,30,exp
21,12,31,exp
21,14,32,exp
21,18,33,exp-imp
21,20,34,exp-imp
21,23,35,exp
21,24,36,exp
21,26,37,exp
21,27,38,exp
21,31,39,exp
21,38,40,exp
21,41,41,exp
21,48,42,exp
21,49,43,exp
21,50,44,exp
21,56,45,exp-imp
21,58,46,exp-imp
21,59,47,exp
22,14,48,exp
22,31,49,exp-imp
22,49,50,exp
22,53,51,exp-imp
24,14,52,exp
24,21,53,imp
24,31,54,imp
24,49,55,exp
25,49,56,exp
26,21,57,imp
26,23,58,exp
27,14,59,exp
27,31,60,exp-imp
28,14,61,exp
28,31,62,imp
28,49,63,exp
28,57,64,exp
30,14,65,exp
30,31,66,imp
31,2,67,exp
31,21,68,imp
31,36,69,exp-imp
31,49,70,exp
32,49,71,exp
34,49,72,exp
37,31,73,imp
38,14,74,exp
38,23,75,exp
38,31,76,imp
38,47,77,exp-imp
38,49,78,exp
39,14,79,exp
39,31,80,imp
40,31,81,imp
42,31,82,imp
43,18,83,exp-imp
43,22,84,exp
43,31,85,imp
43,37,86,exp
43,55,87,exp-imp
45,0,88,exp
45,4,89,exp
45,14,90,exp
45,31,91,imp
45,32,92,exp
45,43,93,exp-imp
45,49,94,exp
45,59,95,exp
46,0,96,exp
46,20,97,exp
46,32,98,exp
46,36,99,exp-imp
46,49,100,exp
47,14,101,exp
47,31,102,imp
47,49,103,exp
47,50,104,exp
48,4,105,exp
48,21,106,imp
48,26,107,exp
48,31,108,imp
50,5,109,exp-imp
50,14,110,exp
50,28,111,exp-imp
50,31,112,imp
50,49,113,exp
50,57,114,exp
50,59,115,exp
52,14,116,exp
52,31,117,exp-imp
52,49,118,exp
53,25,119,exp
53,34,120,exp
53,49,121,exp
55,0,122,exp
55,4,123,exp
55,31,124,imp
55,32,125,exp
55,41,126,exp
55,59,127,exp
56,4,128,exp
56,14,129,exp
56,21,130,imp
56,26,131,exp
56,31,132,exp-imp
56,49,133,exp
57,14,134,exp
57,31,135,imp
57,45,136,exp-imp
57,49,137,exp
58,4,138,exp
58,13,139,exp-imp
58,22,140,exp
58,31,141,imp
58,37,142,exp
58,49,143,exp
