Source,target,id,Type
0,17,0,exp
0,21,1,exp
0,36,2,exp
1,21,3,exp
1,22,4,exp
1,36,5,exp
2,21,6,exp
3,8,7,exp
3,23,8,exp
3,25,9,exp
3,59,10,exp
4,21,11,exp
4,36,12,exp
5,19,13,exp
5,21,14,exp
5,33,15,exp
5,36,16,exp
5,52,17,exp
6,4,18,exp
6,5,19,exp
6,8,20,exp
6,16,21,exp
6,17,22,exp
6,18,23,exp
6,19,24,exp
6,20,25,exp
6,21,26,exp
6,30,27,exp
6,31,28,exp
6,33,29,exp
6,34,30,exp
6,35,31,exp
6,36,32,exp
6,37,33,exp
6,40,34,exp
6,45,35,exp
6,52,36,exp
6,57,37,exp
7,19,38,exp
8,36,39,exp
8,40,40,exp
8,52,41,exp
9,21,42,exp
9,33,43,exp
9,36,44,exp
10,14,45,exp
10,36,46,exp
11,3,47,exp
11,12,48,exp
11,21,49,exp
11,24,50,exp
11,35,51,exp
11,36,52,exp
11,52,53,exp
12,21,54,exp
12,33,55,exp
12,36,56,exp
13,21,57,exp
14,23,58,exp
15,21,59,exp
16,2,60,exp
16,13,61,exp
16,25,62,exp
16,34,63,exp
16,36,64,exp
16,43,65,exp
17,1,66,exp
17,21,67,exp
17,22,68,exp
17,26,69,exp
17,35,70,exp
17,36,71,exp
18,19,72,exp
18,52,73,exp
19,37,74,exp
20,0,75,exp
20,21,76,exp
20,36,77,exp
20,37,78,exp
21,36,79,exp
22,11,80,exp
22,21,81,exp
22,36,82,exp
23,12,83,exp
23,24,84,exp
23,35,85,exp
23,52,86,exp
23,57,87,exp
24,36,88,exp
25,21,89,exp
25,27,90,exp
25,33,91,exp
25,36,92,exp
26,11,93,exp
26,53,94,exp
27,28,95,exp
27,32,96,exp
27,36,97,exp
28,36,98,exp
29,12,99,exp
29,24,100,exp
29,36,101,exp
29,39,102,exp
29,45,103,exp
30,21,104,exp
30,33,105,exp
31,10,106,exp
31,25,107,exp
31,36,108,exp
31,52,109,exp
31,59,110,exp
32,36,111,exp
33,7,112,exp
33,36,113,exp
33,39,114,exp
