Id,FileCount,Fan-in,Fan-out,CrossingCenter
1,36,26,9,aiohttp/test_utils.py,
2,28,24,5,aiohttp/abc.py,
3,24,13,15,aiohttp/client_reqrep.py,
4,23,14,13,aiohttp/web_request.py,
5,23,7,15,aiohttp/web.py,
6,22,17,5,aiohttp/http.py,
7,19,7,14,aiohttp/client.py,
8,19,13,7,aiohttp/web_response.py,
9,18,9,11,aiohttp/web_urldispatcher.py,
10,18,8,9,aiohttp/http_parser.py,
11,16,5,12,aiohttp/web_protocol.py,
12,15,5,11,aiohttp/connector.py,
13,13,7,8,aiohttp/web_app.py,
14,13,7,5,aiohttp/payload.py,
15,13,8,4,aiohttp/web_exceptions.py,
16,11,5,6,aiohttp/multipart.py,

