filename,UIF_ID,UHI_ID,CRS_ID,CLQ_ID,MVG_ID,PKG_ID,UIF_sum,UHI_sum,CRS_sum,CLQ_sum,MVG_sum,PKG_sum,total_sum
aiohttp/web_middlewares.py,1;10;2;3;4;5;6;7;8;9,,13;15;4;5;8;9,1,2;4;5,,10,0,6,1,3,0,19
aiohttp/web_urldispatcher.py,1;10;2;3;4;5;6;7;8;9,1;3,13;15;2;4;5;6;8;9,1,1;2;4;5;7;8,,10,2,8,1,6,0,26
aiohttp/web_routedef.py,1;10;2;3;4;5;6;7;8;9,,13;2;4;5;8;9,1,1;2;4;5,,10,0,6,1,4,0,20
aiohttp/abc.py,1;10;2;3;4;5;6;7;8;9,4,1;10;11;12;13;14;15;2;3;4;5;7;8;9,1,1;2;5;6,,10,1,14,1,4,0,29
aiohttp/web_app.py,1;10;2;3;4;5;6;7;8;9,,13;2;4;5;8;9,1,2;4;5,,10,0,6,1,3,0,19
aiohttp/web_request.py,1;10;2;3;4;5;6;7;8;9,1,10;11;13;15;16;2;4;5;8;9,1,1;2;3;4;5;7,,10,1,10,1,6,0,27
aiohttp/http_parser.py,1;10;2;3;4;5;6;7;8;9,,10;2;3;4;6,1,2;3;4;5,,10,0,5,1,4,0,19
aiohttp/client_reqrep.py,1;10;2;3;4;5;6;7;8;9,1;2,1;10;12;14;16;2;3;6;7,,2;3;7,,10,2,9,0,3,0,24
aiohttp/web_protocol.py,1;10;2;3;4;5;6;7;8;9,1,1;11;15;2;4;5;6;8,,1;2;3;4;5;6;7,,10,1,8,0,7,0,26
aiohttp/client.py,1;10;2;3;4;5;6;7;8;9,4,1;12;14;2;3;6;7,,1;2;3;7,,10,1,7,0,4,0,22
aiohttp/helpers.py,1;10;2;3;4;5;6;7;8;9,1,1;10;11;12;14;15;16;3;4;7;8;9,,1;2;3;6;7,,10,1,12,0,5,0,28
aiohttp/hdrs.py,1;10;2;3;4;5;6;7;8;9,,1;10;12;13;14;15;16;3;4;7;8;9,,5,,10,0,12,0,1,0,23
aiohttp/web.py,1;10;2;3;4;5;6;7;8;9,,1;11;13;15;2;4;5;8;9,,1;2;3;4;5;6;7;8,,10,0,9,0,8,0,27
aiohttp/client_ws.py,1;10;2;3;4;5;6;7;8;9,1,1;3;6;7,,1;2;3;4;5;6;7;8,,10,1,4,0,8,0,23
aiohttp/http.py,1;10;2;3;4;5;6;7;8;9,,1;10;11;12;15;16;3;6;7;8;9,,1;2,,10,0,11,0,2,0,23
aiohttp/test_utils.py,1;10;2;3;4;5;6;7;8;9,1,1;11;2;3;5;6;7,,4;7,,10,1,7,0,2,0,20
tests/test_http_writer.py,1;2;3;4;5;6;8;9,,1,,1;2,,8,0,1,0,2,0,11
tests/test_web_request.py,1;10;2;3;4;5;6;7;8;9,,1;10;4;5,,1;2;3;4;6,,10,0,4,0,5,0,19
tests/test_connector.py,1;10;2;3;4;5;6;7;8,,1;12;3;7,,1;2;3;5;6;7,,9,0,4,0,6,0,19
tests/test_multipart.py,1;10;2;3;4;5;6;7;8;9,,1;16,,1;10;2;3;4;5;6,,10,0,2,0,7,0,19
aiohttp/pytest_plugin.py,1;10;2;3;4;5;6;7;8;9,,1;5,,1;2;3;4;5;6,,10,0,2,0,6,0,18
tests/test_client_functional.py,1;10;2;3;4;5;6;7;8;9,,1;2,,1;2;3;4;5;6;7,,10,0,2,0,7,0,19
tests/test_web_app.py,1;2;3;4;5;6;7,,1,,2;3,,7,0,1,0,2,0,10
tests/test_web_runner.py,1;2;3;4;5;6,,1;2,,6,,6,0,2,0,1,0,9
tests/test_client_response.py,1;10;2;3;4;5;6;7;8;9,1,1;3,,1;2;3;4;5;6;7,,10,1,2,0,7,0,20
tests/test_client_request.py,1;10;2;3;4;5;6;7;8;9,,1;3,,1;2;3;4;5;6;7,,10,0,2,0,7,0,19
