Id,FileCount,Fan-in,Fan-out,CrossingCenter
1,46,40,9,aiohttp/helpers.py,
2,43,30,18,aiohttp/client_reqrep.py,
3,40,32,10,aiohttp/test_utils.py,
4,36,27,12,aiohttp/web_urldispatcher.py,
5,31,28,5,aiohttp/abc.py,
6,26,17,14,aiohttp/web_request.py,
7,24,15,10,aiohttp/web_response.py,
8,24,7,16,aiohttp/web.py,
9,24,15,9,aiohttp/http_parser.py,
10,22,17,5,aiohttp/http.py,
11,21,7,17,aiohttp/client.py,
12,20,14,5,aiohttp/payload.py,
13,20,6,15,aiohttp/web_protocol.py,
14,20,9,12,aiohttp/connector.py,
15,19,13,9,aiohttp/web_app.py,
16,18,4,13,aiohttp/web_ws.py,
17,14,7,8,aiohttp/multipart.py,
18,14,9,4,aiohttp/web_exceptions.py,
19,11,4,6,aiohttp/cookiejar.py,
20,10,5,4,aiohttp/formdata.py,
21,10,5,5,aiohttp/web_server.py,
22,10,4,6,aiohttp/web_routedef.py,
23,10,5,4,aiohttp/web_log.py,

