Source,target,id,Type
0,37,0,exp
0,49,1,exp
0,57,2,imp
0,82,3,exp
0,113,4,exp
2,37,5,imp
2,113,6,imp
3,125,7,exp
4,18,8,exp
4,19,9,exp
4,36,10,exp
4,37,11,imp
4,52,12,imp
4,96,13,imp
5,18,14,exp
5,32,15,exp
5,33,16,exp
5,48,17,exp
5,57,18,exp
5,58,19,exp
5,82,20,exp
5,108,21,exp
5,124,22,exp
6,15,23,exp
6,16,24,exp
6,19,25,imp
6,33,26,exp
6,36,27,exp
6,37,28,exp-imp
6,49,29,exp-imp
6,58,30,exp
6,79,31,exp-imp
6,82,32,exp
6,89,33,exp
6,113,34,exp-imp
7,74,35,imp
8,6,36,exp
9,19,37,exp
9,41,38,exp
10,19,39,exp
10,72,40,imp
11,74,41,exp
12,33,42,exp
12,58,43,exp
12,60,44,exp
12,70,45,exp
12,74,46,exp-imp
12,108,47,exp
13,18,48,exp
13,19,49,exp
13,34,50,exp
13,52,51,imp
13,72,52,exp-imp
14,5,53,imp
14,18,54,exp
14,36,55,exp
14,52,56,exp-imp
14,58,57,exp
14,82,58,exp-imp
14,85,59,imp
14,113,60,exp
15,16,61,exp
15,113,62,exp
16,6,63,exp-imp
16,15,64,exp
16,18,65,exp
16,19,66,imp
16,23,67,exp-imp
16,33,68,exp-imp
16,36,69,exp
16,37,70,exp-imp
16,49,71,imp
16,52,72,exp
16,58,73,exp
16,79,74,imp
16,82,75,exp
16,96,76,exp-imp
16,108,77,exp
16,113,78,exp-imp
16,128,79,exp
17,15,80,exp
17,19,81,exp
18,32,82,exp-imp
18,82,83,exp
18,124,84,exp
19,16,85,exp
19,33,86,exp-imp
19,34,87,exp
19,36,88,exp
19,58,89,exp
19,70,90,imp
19,82,91,exp
19,110,92,exp
19,113,93,exp
19,128,94,exp
20,79,95,imp
20,113,96,imp
21,19,97,exp
21,34,98,exp
21,74,99,exp-imp
21,76,100,imp
21,82,101,imp
21,113,102,imp
22,32,103,exp
22,79,104,imp
23,19,105,imp
23,33,106,exp
23,74,107,imp
23,79,108,imp
23,82,109,exp
23,108,110,exp
24,37,111,imp
24,74,112,imp
24,79,113,imp
24,82,114,imp
24,113,115,imp
27,18,116,imp
27,79,117,imp
28,6,118,imp
28,19,119,exp
28,37,120,imp
28,58,121,exp
28,74,122,imp
28,76,123,imp
28,93,124,imp
28,108,125,exp
28,113,126,imp
28,120,127,imp
29,19,128,exp
29,33,129,imp
29,96,130,imp
30,60,131,exp
30,70,132,exp-imp
30,74,133,exp
30,76,134,exp
30,106,135,exp
30,108,136,exp
31,19,137,exp
31,36,138,exp
32,125,139,exp
33,60,140,exp
33,70,141,exp
33,76,142,exp
33,106,143,exp
33,108,144,exp
34,12,145,exp
34,30,146,exp
34,33,147,exp
34,41,148,exp
34,60,149,exp
34,70,150,exp
34,72,151,exp
34,74,152,exp
34,76,153,exp
34,82,154,imp
34,94,155,exp
34,102,156,exp
34,106,157,exp
34,110,158,exp
34,120,159,exp
34,124,160,exp
35,12,161,imp
35,74,162,exp-imp
36,5,163,exp
36,48,164,exp
36,57,165,exp
36,96,166,exp
36,103,167,exp
37,5,168,exp
37,108,169,exp
37,113,170,exp
38,52,171,imp
38,79,172,imp
38,96,173,imp
38,128,174,exp
39,19,175,exp
39,50,176,imp
39,52,177,imp
39,96,178,imp
40,76,179,imp
40,108,180,exp
40,113,181,imp
41,5,182,exp
41,18,183,exp
41,33,184,exp
41,70,185,exp
41,76,186,exp-imp
41,94,187,exp
41,110,188,exp
41,120,189,exp
44,72,190,imp
44,74,191,imp
44,96,192,imp
45,113,193,imp
47,19,194,exp
47,34,195,exp
47,48,196,exp-imp
47,52,197,exp
47,60,198,exp-imp
47,70,199,imp
47,82,200,exp-imp
47,113,201,imp
48,32,202,exp
48,33,203,exp
48,82,204,exp
49,18,205,exp
49,32,206,exp
49,36,207,exp
49,37,208,exp
49,79,209,imp
49,82,210,exp-imp
50,37,211,imp
51,74,212,exp-imp
51,82,213,imp
52,18,214,exp-imp
52,33,215,exp
52,58,216,exp
52,82,217,exp
52,108,218,exp
53,6,219,imp
53,37,220,exp
53,82,221,exp-imp
53,113,222,imp
54,19,223,exp
54,37,224,imp
54,52,225,imp
54,79,226,imp
54,113,227,exp-imp
55,74,228,imp
56,89,229,exp
57,108,230,exp
59,33,231,exp
59,60,232,exp
59,74,233,imp
59,94,234,exp
59,108,235,exp
60,5,236,imp
60,33,237,exp-imp
60,36,238,exp
60,52,239,exp
60,58,240,exp
60,70,241,exp
60,82,242,exp
60,106,243,imp
60,108,244,exp
60,113,245,imp
62,19,246,exp
62,52,247,imp
62,82,248,exp
62,113,249,exp-imp
63,14,250,imp
63,18,251,imp
63,52,252,imp
64,23,253,imp
64,33,254,imp
65,19,255,exp
65,33,256,exp
65,41,257,imp
65,56,258,imp
65,82,259,imp
66,79,260,exp
69,60,261,imp
69,74,262,imp
69,82,263,imp
70,5,264,exp
70,14,265,exp-imp
70,18,266,exp
70,33,267,exp
70,48,268,exp
70,58,269,exp
70,60,270,exp
70,74,271,exp-imp
70,76,272,exp
70,82,273,exp-imp
70,106,274,exp
70,108,275,exp
70,110,276,exp
70,113,277,imp
71,60,278,imp
71,74,279,imp
71,113,280,imp
72,18,281,exp
72,33,282,exp
72,36,283,exp
72,52,284,imp
72,58,285,exp
72,60,286,exp-imp
72,70,287,exp
72,79,288,imp
72,82,289,exp
72,106,290,exp
72,108,291,exp
72,110,292,imp
72,124,293,exp
73,52,294,imp
73,72,295,imp
73,96,296,imp
74,12,297,exp
74,33,298,exp-imp
74,36,299,exp
74,58,300,exp
74,60,301,exp
74,70,302,exp
74,76,303,exp
74,82,304,exp-imp
74,102,305,exp
74,106,306,exp
74,108,307,exp
74,113,308,imp
75,76,309,exp
75,82,310,exp
75,88,311,imp
75,94,312,exp
75,120,313,imp
76,12,314,exp
76,30,315,exp
76,33,316,imp
76,58,317,exp
76,60,318,exp
76,70,319,exp-imp
76,74,320,exp-imp
76,108,321,exp
76,124,322,exp
77,19,323,exp
77,76,324,imp
77,108,325,exp
78,36,326,exp
78,96,327,exp-imp
80,5,328,imp
80,19,329,imp
80,79,330,imp
80,82,331,exp-imp
81,6,332,imp
81,15,333,imp
81,19,334,exp-imp
81,33,335,exp
81,37,336,exp-imp
81,50,337,imp
81,74,338,imp
81,79,339,imp
81,93,340,imp
81,113,341,imp
82,5,342,imp
82,19,343,imp
82,58,344,exp
82,70,345,imp
82,74,346,imp
82,76,347,imp
82,79,348,imp
82,108,349,exp
82,124,350,exp
83,113,351,imp
84,19,352,exp
84,34,353,exp
85,5,354,imp
85,14,355,exp-imp
85,18,356,exp
85,19,357,exp
85,52,358,imp
85,58,359,exp
85,82,360,exp
86,18,361,imp
86,32,362,imp
87,6,363,exp-imp
87,15,364,exp-imp
87,16,365,exp
87,19,366,exp
87,74,367,imp
87,79,368,exp-imp
87,113,369,exp
87,130,370,exp
88,75,371,imp
89,33,372,exp
89,56,373,imp
89,79,374,imp
90,74,375,imp
91,5,376,exp
91,18,377,exp
91,19,378,exp-imp
91,34,379,exp
91,37,380,exp
91,70,381,exp-imp
91,74,382,imp
91,82,383,exp
91,113,384,imp
92,33,385,exp
93,14,386,exp-imp
93,52,387,exp-imp
93,58,388,exp
93,82,389,exp
94,33,390,exp
94,60,391,exp
94,70,392,exp
94,113,393,imp
95,96,394,imp
96,18,395,exp
96,32,396,exp
96,82,397,exp
97,36,398,exp
97,52,399,imp
97,74,400,imp
97,96,401,exp-imp
98,19,402,exp
99,6,403,imp
99,19,404,exp
99,82,405,exp
99,113,406,exp
100,57,407,imp
101,74,408,imp
101,82,409,imp
102,32,410,imp
102,33,411,exp
102,58,412,exp
102,60,413,exp
102,70,414,exp
102,82,415,exp-imp
102,106,416,exp
102,108,417,exp
103,14,418,exp
103,15,419,exp
103,16,420,exp
103,18,421,exp
103,23,422,exp
103,36,423,exp
103,52,424,exp
103,58,425,exp
103,75,426,exp
103,82,427,exp
103,89,428,exp
103,93,429,exp
106,36,430,exp
106,58,431,exp
106,82,432,exp
106,108,433,exp
107,74,434,imp
108,34,435,exp
110,5,436,imp
110,18,437,exp
110,32,438,exp
110,33,439,exp-imp
110,36,440,exp
110,60,441,exp
110,70,442,exp-imp
110,76,443,imp
110,79,444,imp
110,82,445,exp
110,94,446,exp
110,106,447,exp
110,120,448,exp-imp
110,124,449,exp
110,125,450,exp
112,5,451,exp
112,18,452,imp
112,113,453,imp
113,5,454,exp-imp
113,6,455,exp
113,14,456,exp
113,15,457,exp
113,16,458,exp
113,18,459,exp-imp
113,19,460,imp
113,23,461,imp
113,33,462,exp-imp
113,36,463,exp
113,37,464,exp
113,52,465,exp-imp
113,58,466,exp
113,79,467,imp
113,82,468,exp
113,93,469,exp
113,108,470,exp
113,124,471,exp
115,74,472,imp
115,108,473,exp
117,96,474,imp
118,5,475,imp
120,5,476,exp
120,18,477,exp
120,33,478,exp
120,70,479,exp
120,110,480,exp
122,6,481,exp
122,16,482,exp-imp
122,19,483,exp
122,33,484,imp
122,50,485,imp
122,74,486,imp
122,113,487,exp-imp
123,82,488,imp
126,19,489,exp
126,82,490,exp
127,19,491,exp
127,82,492,imp
127,102,493,exp
128,18,494,exp
128,36,495,exp
128,37,496,exp
128,52,497,imp
128,79,498,imp
128,82,499,exp
128,96,500,exp
128,108,501,exp
128,113,502,exp
129,14,503,imp
129,93,504,imp
130,19,505,exp
