"FileName","Churn","IssueId","CommitId"
"docs/testing.rst","14","#5619","0e5d74348a70e4daee970954ead3e1ca6a97554d"
"","41","#5516","25dfe50e5203dd77778a668fd005250dceaccf05"
"","47","#4706","cd5c48a619ba61bff48ac1f30be7845f1506896f"
"","64","#4697","e583a4b8cf9b5f49107439053bb62fc63ffad2df"
"","2","#4108","d19f52f0dcb981d3ae8d24308b7fae7dbfd3a2ea"
"","2","#4108","3bc5bd6db16ebaf31deb351043abbfb29b461656"
"","5","#4059","9c895b6ae64ecabc69911c53cb78f3dbd0b39875"
"","5","#4059","dc39183d4351c2fc87dbfa9bcf938567d754571b"
"","2","#3975","8b60633bc6eaf4c0cc792a506b069ba29ba58503"
"","2","#3939","53caa2c8476344faee51f6e73c3d02f64b76056a"
"","4","#3822","957c51eda772b81304f4deb046a04b3c9c27369c"
"","2","#3740","f3649b538ccfc105f0ede366ed76ea69617bdbe5"
"","2","#3395","e27dd73fdc5ec982ccdb68103022be1ea8c4d4ff"
"","2","","44fe5c74d5d1d1043cfb57bb5dd04a9f2b5e228e"
"","2","#3060","d8831f36d0ba1c7e2ffa7f5442e14d020de98bb8"
"","2","#3008","d6a26f578b4de9be6051c738e9a611f19381f6f9"
"","5","#2938","708d1f07bb7878c09b47df620cd6b38a9bec470b"
"","15","#2933","516736a4ded9713856fd0cacba70a2616d6cf300"
"","6","#2901","4e22d40e9bfdc21a4ebbc101c64b3fa9adfdf588"
"","4","#2797","97617edb27299095f98172f5846552cf894263a1"
"","14","#2804","58538909512d1d9108f529e1a6e168a70915efd9"
"","67","#2801","4b7260daea83a4c4ce1c4ee6bb71e3672b00b1c9"
"","6","#2791","430091a7851b2f5ca767d93084d387b35d3032f8"
"","13","#2717","ad4af939b9f2146f1c66d11a41007db3902805e3"
"","13","#2717","9a7d853088d28bf28b2b59033c556225a2402e11"
"","54","#2714","ed3f42272d3caeadbd8f27cabcc8917c20bebc6d"
"","2","#2628","16e7d1bb2c748fc3b71f4d9f3cfb0d55015bdd31"
"","59","#2613","9cc03cd548a188d60e77d08bef2b9d7f606f76bc"
"","2","#2524","48a704d955e9ff04c7a969d615da524ae92125d5"
"","10","","6fdf4e401ef1c539597087ab809d4e0bd1060935"
"","6","#2331","a01c4ec94fbdd0c5964a6bf4149116e5e7b88935"
"","7","#2299","157e315f58e2416832f2f161cdbe2bfa8b49a714"
"","6","#2024","9964ddbc68f7024fbd3895fe89c4a12e34b39b8b"
"","18","","4f033d3a61095818de8ee93ffb8a83ba29517bb6"
"","28","#2074","2fb3f641faa8032d3a7a9bbe02ebc8af250a00b7"
"","4","#2018","25ab86d9e9da53291ca09d3c5fb3e10b94771608"
"","4","#1972","bb441f81ffe99bd4e8c3b9b079525f76ab225693"
"","4","","e48c295102cde5a1125fbecf619c1f1782079d8a"
"","4","","92ab1e5bc66f5b06f84b844e846388e075e4e211"
"","42","","02145b1792f251fc2ca32f167fc30ccb4e0fd400"
"","7","","3d03c29e0ae90694c703269a37540df7e3d2e0d7"
"","5","","04fb7da6a63b234e89bd4d2ce0862c0c63786018"
"","6","#1499","8bfabd7ab25f85def9124e8a87d5681b14234afb"
"","2","#1491","d4554ac0fa74d0808ed18512e68b8fa241540406"
"","99","#1425","054ec467bc0b782624e62b96feda3291a31bf998"
"","99","#1425","4f46bc9c9481351fa08806786784080c2bd9e90e"
"","354","","a3e2c555364a20ca0661fbb8783b867b4b983a60"
"","154","","8688ec4e62e3d84db792f1267abb537ded50f934"
"","52","","3065c7b9ea2aea931c5b63088e986adaebf4f0c5"
"","40","","00b594d20336c53d0e16562de81531f16a94de29"
"","109","","5cd7736aed3dd6d4bd07493ee8af6dc87fa6b9e0"
"","4","","9c208417cd771be09841d3444181b5b096417848"
"","110","","4ecd7e194df6f56a147eaa0cebcbcc20c4269158"
"","4","","432850bf359a0cccc48a4e9ebafce9bba89720d0"
"","4","","ec537316d86f7bdfb2740e02c93839e3114ce60f"
"","46","#1159","7d876029fbd0fc4189f91bd6b91731b26ae2d5e3"
"","164","#1127","c79dc3c7abf7f4cb2eeb6cd1bc9cd3be36239001"
"","17","#1113","d8848ddd9502f314e9a53a2f6967654b98dc95bf"
"","3","#1109","96f541507e6e78db9086ace4d40e869397353df6"
"","2","#1100","42c389ac2b997caa4345935dd749a73a13cae73a"
"","15","#1098","5d02f0affabd3cde6a4788557a3d24391b37908f"
"","215","#1097","f3881d1ec6de5944b3eaeea95f1028f7a6b5d51e"
"","16","#1083","b109fdf4d305d251c29bf390d02a9c094cb692e5"
"","3","#1073","8a371362277fc52bf9628cbb48588ee73db401a9"
"","2","","77d4c6384475ae4950ef346806a794d81774a772"
"","8","#1063","a3062a75610cb87a830cd1924e414bca0dab8185"
"","7","","f5a0757de4227e30e2dbd35c104af7f108cb0d0a"
"","16","#1055","1f6349a785a0347d9d765688344b26b471968348"
"","4","","058a25617dc5df8739ef051c6c00669d4b1c27b3"
"","2","","1c50f9bfec002a59ce590439054022ce7f56035b"
"","21","","56bf8bb2ab92384c45b771432aa8e06270005da3"
"","8","","c7205b7aa82998ba44b28f635a4befbe3ed0d93a"
"","1","","0ffda23060a35b6c7a3ea92c5e3b14e39606cf08"
"","2","","05c2e5cf1467be6178986eeccf29d4428c3e52f8"
"","20","#900","d26d9dc348c3328d144d5b0c1deb2c34624f1182"
"","116","","317e97d04d5c56ecc828c24e42eba88b0263abac"
"","8","#913","3347cdc7a866e589479a4956ce9376b814b12172"
"","48","#910","2291aa3e551fa22135722b5be2e601dc2fc12276"
"","126","","035fbde4e326997d1cb48e13861fcf022a162d79"
"CHANGES/6079.feature","1","#6079","02bb2009cda3814c5cbaddc5b4a466bd0067dbdc"
"CHANGES/3233.bugfix","1","#3233","7b7130274465518f17ae61cb4c6d415f29b6c4da"
"changes/2228.doc","1","","c174204ec1c1c8a43f552e4752d39224b0b2f86f"
"CHANGES/5457.misc","1","#5457","d6e51d9020f3833e3ca9dec6e76e001a9624ffc6"
"changes/2014.misc","1","#2014","00f5c40533b3095c31c6502bdea0e0d46a08fec7"
"aiohttp/connector.py","4","#5927","84babebc96e08f1ea2b7c31406eb5a1ed20cd5c4"
"","127","#5992","c29e5fb58efb65c6198ea75b95805ab972e98adc"
"","2","#5985","e445011aebc670d78163eeeb1e5da58fa851221f"
"","6","#5259","e4faf771a66b04299f94928900db6ee2785b10e9"
"","5","#5284","e51fb1ff1ebdde566b96af0090c5c63cf1a62b1b"
"","10","#5287","082382b96443be68e28d80ed950fa1d20b3ad05c"
"","4","#5278","0f0c3759616e5369403cd711d8ff898c28f38548"
"","4","","ae71a0d5bcd5fc6d6d430b0e26fc9328572a4c64"
"","5","#4985","e19c79ecca767e553c429954802feb1b9dae7f1d"
"","3","#4956","35b3174a5d0af86ef9aa83285ca15142268c5911"
"","24","#4562","3020edccb848fd54e35ee637d785250ba283a7b9"
"","20","#5066","1722bc3fca455e348b6648c5857d4f03af5d4dc1"
"","10","#4587","6d996de12eed655f74bba378fc991f06c36a4ea7"
"","25","#4795","9bdee3695172ff048b298480044600a5c1c72150"
"","5","#4937","ad00c2e44b97e4e69827a8166d299d5ab171f7b9"
"","8","#4341","48bf8c356c7c3bac5d520484ede5c35bd1795afb"
"","2","#4279","18b9274a199e437279b9213ab0256d064736a0ff"
"","3","#4264","159b039b742aa86404ba9a66873a031d16e595e6"
"","2","#4203","f30a2043bb7e45d3ac775612c20c6e453f7c60f6"
"","11","","bab2ee2f00f82f7124dc68d46953d3c17639baf3"
"","11","","0d499e50a7f185ab76ec16106672c775ee67567a"
"","4","#4044","36b54da780968aaa522a6758d99823410dd7a1c4"
"","4","#4044","542006a5faa2ea3fae2db9380e8f9f3b00c712f7"
"","14","#4013","f189e8c639bbcf89ab0d6f0185248292192e3ff9"
"","14","#4013","010caab633d68e6eb0a752d37bf77a0e2e02ade4"
"","7","#3935","ddba4657162b23de7bca916460486e79c2dfdcfa"
"","5","#3902","995720260cc1535dd15a807f6b8b5ef83a1e2673"
"","7","#3901","e1eb27ae9a15910e97b398e97c3cdb0997a946ff"
"","18","#3900","79364cefc0a407dc22185c54eb84e37850ad9a42"
"","56","#3632","43b83049c02372575a2b907647f7b69935fd9d83"
"","56","#3632","edc7c0fea7ed56c413b9ae2736495ab2b280aae4"
"","51","#3733","6b0bc4ef9365d855ad9dbd293dfbed576a784c16"
"","2","#3732","c9a1086c1017e5eda4335968309caf0e9a6fa75f"
