id,filename,deptype,deptypenum,#author,#cmt,changeloc,#issue,#issue-cmt,issueLoc
0,tests/test_client_proto.py,exp;imp,4;1,3,11,264,6,7,100
37,aiohttp/client_exceptions.py,exp;imp;exp-imp,9;6;3,18,51,705,32,41,552
49,aiohttp/client_proto.py,exp;exp-imp;imp,5;2;2,11,66,951,32,39,256
57,aiohttp/http_exceptions.py,imp;exp,2;3,6,17,233,10,14,108
82,aiohttp/helpers.py,exp;exp-imp;imp,27;8;15,67,275,6297,147,160,3802
113,aiohttp/client_reqrep.py,exp;imp;exp-imp,19;21;9,58,252,4325,138,163,1895
2,tests/test_client_exceptions.py,imp,2,7,18,974,14,18,1026
3,tests/test_tcp_helpers.py,exp,1,3,10,336,5,6,461
125,aiohttp/tcp_helpers.py,exp,3,3,6,125,5,6,200
4,tests/test_client_ws.py,exp;imp,3;3,11,36,2245,21,21,872
18,aiohttp/streams.py,exp;exp-imp;imp,18;3;4,25,123,3483,54,65,1566
19,aiohttp/test_utils.py,exp;imp;exp-imp,32;7;3,40,173,3224,98,111,1616
36,aiohttp/http.py,exp,22,5,24,393,10,11,198
52,aiohttp/payload.py,imp;exp-imp;exp,12;4;8,16,57,1516,33,43,818
96,aiohttp/http_websocket.py,imp;exp-imp;exp,8;3;5,16,39,979,31,37,603
5,aiohttp/http_parser.py,exp;imp;exp-imp,16;7;1,19,48,1384,34,36,566
32,aiohttp/base_protocol.py,exp;exp-imp;imp,7;1;2,2,11,143,9,10,131
33,aiohttp/abc.py,exp;exp-imp;imp,23;6;4,9,57,625,21,23,355
48,aiohttp/http_writer.py,exp;exp-imp,6;1,13,41,694,34,38,707
58,aiohttp/hdrs.py,exp,20,9,22,806,14,19,714
108,aiohttp/typedefs.py,exp,25,6,18,190,13,16,192
124,aiohttp/log.py,exp,8,4,12,47,1,2,2
6,aiohttp/connector.py,exp;imp;exp-imp,10;5;6,59,304,6272,122,152,3965
15,aiohttp/tracing.py,exp;imp;exp-imp,7;1;1,10,23,1328,18,24,1861
16,aiohttp/client.py,exp;exp-imp;imp,14;7;3,74,456,10475,186,216,3577
79,aiohttp/locks.py,exp-imp;imp;exp,2;17;1,5,14,107,9,10,120
89,aiohttp/resolver.py,exp;imp,4;2,10,26,369,19,24,289
7,examples/web_classview.py,imp,1,3,3,51,2,2,16
74,aiohttp/web_urldispatcher.py,imp;exp;exp-imp,20;12;8,47,229,5806,95,124,3933
8,tests/test_client_connection.py,exp,1,3,18,438,8,8,94
9,tests/test_run_app.py,exp,2,22,73,2745,33,37,1447
